cohort,module,stratum,metric,point_estimate,valid_replicates,bootstrap_mean,bootstrap_sd,ci_low,bootstrap_median,ci_high
ELSA,wealth_within_low_education,all,high_dfle,19.8239938313257,500,19.9072403566851,0.50267249392331,18.9632787869102,19.865498503197,20.9218685349341
ELSA,wealth_within_low_education,all,low_dfle,14.4934725318852,500,14.4983345533633,0.328213621999017,13.8516568999242,14.5003339944188,15.1204799998827
ELSA,wealth_within_low_education,all,recovery_relapse_contribution,-1.28295410918204,500,-1.31442702297727,0.291391368246541,-1.8679995316532,-1.31120105734932,-0.756755008156918
ELSA,wealth_within_low_education,all,recovery_relapse_percent,24.06807959508,500,24.3232674630776,4.97649714128006,14.5483267889323,24.2951451525732,34.1443118206466
HRS,wealth_within_low_education,all,contribution_onset,-1.70484485848213,500,-1.67048240378917,0.344857230071229,-2.35881034482596,-1.64669540551945,-0.990808390353097
HRS,wealth_within_low_education,all,contribution_post_disability_mortality,-0.150429719749276,500,-0.163640649985774,0.105736768693837,-0.385004083075413,-0.163048236575738,0.0468783698940385
HRS,wealth_within_low_education,all,contribution_pre_disability_mortality,-1.02096267221175,500,-0.994080186944891,0.24951072463831,-1.49822666255862,-0.991584084844168,-0.505660557150712
HRS,wealth_within_low_education,all,contribution_recovery,-0.622809546944918,500,-0.652529531707477,0.228372564279376,-1.11424352931789,-0.652149321296289,-0.210407296355613
HRS,wealth_within_low_education,all,contribution_relapse,-0.18521408905518,500,-0.185718951459592,0.135598127631905,-0.449756496949612,-0.181267815414236,0.0672942938598569
HRS,wealth_within_low_education,all,gap_dfle,-3.68426088644325,500,-3.66645172388691,0.479674758775462,-4.70142746550224,-3.64884325517574,-2.76205868792372
HRS,wealth_within_low_education,all,high_dfle,17.2371629267828,500,17.2072654553061,0.455067021223751,16.3593257124235,17.2095340670417,18.1971048404829
HRS,wealth_within_low_education,all,low_dfle,13.5529020403395,500,13.5408137314192,0.244501535188021,13.0660126806183,13.5263619325272,14.0060130489835
HRS,wealth_within_low_education,all,recovery_relapse_contribution,-0.808023636000098,500,-0.83824848316707,0.273489879944127,-1.42416647912038,-0.82843849894789,-0.328849355116396
HRS,wealth_within_low_education,all,recovery_relapse_percent,21.9317703307421,500,22.9579392252982,7.17892219991139,9.4919717315941,22.7472069414909,37.9247227273169
MHAS,wealth_within_low_education,all,contribution_onset,-0.602819516282208,491,-0.677106553030658,0.443437901669797,-1.57732276326913,-0.676359098153769,0.203705909827991
MHAS,wealth_within_low_education,all,contribution_post_disability_mortality,-0.0191594685400631,491,-0.0432755529926235,0.168163141219847,-0.358415881391188,-0.0431463614551655,0.309479588189485
