cohort_a,cohort_b,contrast,module,stratum,metric,point_a,point_b,point_difference,paired_valid_replicates,minimum_paired_valid_required,paired_validity_gate,bootstrap_mean_difference,bootstrap_sd_difference,ci_low,bootstrap_median_difference,ci_high,interval_excludes_zero
CHARLS,HRS,CHARLS_minus_HRS,wealth_within_low_education,all,contribution_relapse,-0.245739362196126,-0.18521408905518,-0.060525273140946,493,450,TRUE,-0.0626811021720299,0.337082701027214,-0.701419722493586,-0.062494456709191,0.57381562609882,FALSE
CHARLS,HRS,CHARLS_minus_HRS,wealth_within_low_education,all,gap_dfle,-3.27849613801362,-3.68426088644325,0.40576474842963,493,450,TRUE,0.366555742398488,0.69345615474667,-0.944142812314158,0.40853249509527,1.66112847706877,FALSE
CHARLS,HRS,CHARLS_minus_HRS,wealth_within_low_education,all,recovery_relapse_contribution,-1.01885872934966,-0.808023636000098,-0.210835093349562,493,450,TRUE,-0.211755065568244,0.483002890871238,-1.19612181994435,-0.226410044057327,0.750643005078479,FALSE
CHARLS,MHAS,CHARLS_minus_MHAS,wealth_within_low_education,all,contribution_onset,-1.95563158447462,-0.602819516282208,-1.35281206819241,484,450,TRUE,-1.22744961755117,0.54330122500694,-2.29963152512153,-1.22830477241608,-0.198735513097879,TRUE
CHARLS,MHAS,CHARLS_minus_MHAS,wealth_within_low_education,all,contribution_post_disability_mortality,-0.3153346814527,-0.0191594685400631,-0.296175212912637,484,450,TRUE,-0.300660413634347,0.285346089312289,-0.894276430137774,-0.291982015801199,0.237549360445147,FALSE
CHARLS,MHAS,CHARLS_minus_MHAS,wealth_within_low_education,all,contribution_pre_disability_mortality,0.0113288572633645,-0.742966769396755,0.75429562666012,484,450,TRUE,0.697411435387938,0.366586062885418,0.0248534170690634,0.685885349096159,1.39977127839583,TRUE
CHARLS,MHAS,CHARLS_minus_MHAS,wealth_within_low_education,all,contribution_recovery,-0.773119367153534,0.00256379656400251,-0.775683163717537,484,450,TRUE,-0.781491537413118,0.351872900497459,-1.491284687737,-0.782547637407457,-0.0892659150054195,TRUE
CHARLS,MHAS,CHARLS_minus_MHAS,wealth_within_low_education,all,contribution_relapse,-0.245739362196126,0.29488594975481,-0.540625311950936,484,450,TRUE,-0.563792538974563,0.428780643338166,-1.46115806668527,-0.536133068247224,0.22869108913033,FALSE
CHARLS,MHAS,CHARLS_minus_MHAS,wealth_within_low_education,all,gap_dfle,-3.27849613801362,-1.06749600790022,-2.2110001301134,484,450,TRUE,-2.17598267218526,0.859896981874149,-3.87290724801154,-2.20323208013842,-0.449714766704631,TRUE
CHARLS,MHAS,CHARLS_minus_MHAS,wealth_within_low_education,all,recovery_relapse_contribution,-1.01885872934966,0.297449746318812,-1.31630847566847,484,450,TRUE,-1.34528407638768,0.554469233962333,-2.51317563346257,-1.33556342930236,-0.328216971285012,TRUE
ELSA,HRS,ELSA_minus_HRS,wealth_within_low_education,all,contribution_onset,-2.56717454984991,-1.70484485848213,-0.86232969136778,500,450,TRUE,-0.86061868075871,0.51373695649633,-1.80361201844431,-0.87858724839271,0.155896419811001,FALSE
ELSA,HRS,ELSA_minus_HRS,wealth_within_low_education,all,contribution_post_disability_mortality,-0.507983446343511,-0.150429719749276,-0.357553726594235,500,450,TRUE,-0.349996779669883,0.180723654037841,-0.716458850135208,-0.350602008931211,-0.011159981328111,TRUE
ELSA,HRS,ELSA_minus_HRS,wealth_within_low_education,all,contribution_pre_disability_mortality,-0.972409194065061,-1.02096267221175,0.048553478146689,500,450,TRUE,-0.0556600791961211,0.441594038804007,-0.966301468019322,-0.0338261413720605,0.776688965087909,FALSE
ELSA,HRS,ELSA_minus_HRS,wealth_within_low_education,all,contribution_recovery,-0.758586271122962,-0.622809546944918,-0.135776724178044,500,450,TRUE,-0.14114369721168,0.310567602085681,-0.75234122419239,-0.12973716782238,0.481637581405608,FALSE
ELSA,HRS,ELSA_minus_HRS,wealth_within_low_education,all,contribution_relapse,-0.524367838059076,-0.18521408905518,-0.339153749003896,500,450,TRUE,-0.33503484259852,0.20960611310906,-0.746627169414414,-0.322800662545119,0.0943999474845115,FALSE
ELSA,HRS,ELSA_minus_HRS,wealth_within_low_education,all,gap_dfle,-5.33052129944052,-3.68426088644325,-1.64626041299727,500,450,TRUE,-1.74245407943491,0.743402893188693,-3.17773331955327,-1.74795355178615,-0.258254106558284,TRUE
ELSA,HRS,ELSA_minus_HRS,wealth_within_low_education,all,recovery_relapse_contribution,-1.28295410918204,-0.808023636000098,-0.474930473181942,500,450,TRUE,-0.4761785398102,0.400095509399318,-1.25419218242134,-0.47862986281623,0.343942908146523,FALSE
ELSA,MHAS,ELSA_minus_MHAS,wealth_within_low_education,all,contribution_onset,-2.56717454984991,-0.602819516282208,-1.9643550335677,491,450,TRUE,-1.85000210914392,0.590150335726704,-3.01122445757701,-1.81947507379652,-0.705196926502459,TRUE
