sensitivity,cohort,exposure,ses,V5
exclude_explicit_proxy,MHAS,wealth,high,6.89986277576288
exclude_explicit_proxy,MHAS,wealth,high,0.0711844954077772
exclude_explicit_proxy,MHAS,wealth,low,22.6071804521851
exclude_explicit_proxy,MHAS,wealth,low,15.6034319223712
exclude_explicit_proxy,MHAS,wealth,low,7.00374852981387
exclude_explicit_proxy,MHAS,wealth,low,0.0592290181057806
exclude_pandemic_crossing,CHARLS,education,high,15.3212241598106
exclude_pandemic_crossing,CHARLS,education,high,14.5754651066687
exclude_pandemic_crossing,CHARLS,education,high,0.745759053141847
exclude_pandemic_crossing,CHARLS,education,high,0.0177566805840881
exclude_pandemic_crossing,CHARLS,education,low,9.11709416635108
exclude_pandemic_crossing,CHARLS,education,low,8.27734770140543
exclude_pandemic_crossing,CHARLS,education,low,0.839746464945656
exclude_pandemic_crossing,CHARLS,education,low,0.000133292387361012
exclude_pandemic_crossing,CHARLS,wealth,high,11.2448501877037
exclude_pandemic_crossing,CHARLS,wealth,high,10.4834671938859
exclude_pandemic_crossing,CHARLS,wealth,high,0.761382993817843
exclude_pandemic_crossing,CHARLS,wealth,high,0.0032071002953628
exclude_pandemic_crossing,CHARLS,wealth,low,8.24760783001686
exclude_pandemic_crossing,CHARLS,wealth,low,7.40714660493782
exclude_pandemic_crossing,CHARLS,wealth,low,0.840461225079041
exclude_pandemic_crossing,CHARLS,wealth,low,0.000125120885641886
exclude_pandemic_crossing,ELSA,education,high,27.0163416821728
exclude_pandemic_crossing,ELSA,education,high,21.402234951141
exclude_pandemic_crossing,ELSA,education,high,5.6141067310318
exclude_pandemic_crossing,ELSA,education,high,0.059799963023286
exclude_pandemic_crossing,ELSA,education,low,23.747460120221
exclude_pandemic_crossing,ELSA,education,low,16.8586882151922
exclude_pandemic_crossing,ELSA,education,low,6.88877190502886
exclude_pandemic_crossing,ELSA,education,low,0.0127160446995839
exclude_pandemic_crossing,ELSA,wealth,high,27.1314555521534
exclude_pandemic_crossing,ELSA,wealth,high,21.2034650682465
exclude_pandemic_crossing,ELSA,wealth,high,5.92799048390692
exclude_pandemic_crossing,ELSA,wealth,high,0.0569453646211961
exclude_pandemic_crossing,ELSA,wealth,low,22.5618839656126
exclude_pandemic_crossing,ELSA,wealth,low,15.3592102597006
exclude_pandemic_crossing,ELSA,wealth,low,7.20267370591201
