sensitivity,cohort,exposure,process,finite_hazards,max_annual_hazard,p99_annual_hazard,hazards_gt_10,hazards_gt_100
exclude_explicit_proxy,MHAS,education,death_post,240,0.207617206010131,0.200109286966081,0,0
exclude_explicit_proxy,MHAS,education,death_pre,80,0.423844773423171,0.423844773423171,0,0
exclude_explicit_proxy,MHAS,education,onset,80,0.14054526520275,0.139954299539132,0,0
exclude_explicit_proxy,MHAS,education,recovery,160,0.410718343444613,0.378448127130491,0,0
exclude_explicit_proxy,MHAS,education,relapse,80,1.05309616543724,1.05309616543724,0,0
exclude_explicit_proxy,MHAS,wealth,death_post,240,0.211500865999604,0.20500921473655,0,0
exclude_explicit_proxy,MHAS,wealth,death_pre,80,0.491986403739354,0.491986403739354,0,0
exclude_explicit_proxy,MHAS,wealth,onset,80,0.15917013401984,0.158771199213038,0,0
exclude_explicit_proxy,MHAS,wealth,recovery,160,0.357804741753627,0.343103547741294,0,0
exclude_explicit_proxy,MHAS,wealth,relapse,80,1.27853117243062,1.27853117243062,0,0
exclude_pandemic_crossing,CHARLS,education,death_post,240,107.27797145368,104.131223731883,164,4
exclude_pandemic_crossing,CHARLS,education,death_pre,80,0.124314644925444,0.123497331874198,0,0
exclude_pandemic_crossing,CHARLS,education,onset,80,0.230619855229159,0.230619855229159,0,0
exclude_pandemic_crossing,CHARLS,education,recovery,160,0.386536266555803,0.370865521125651,0,0
exclude_pandemic_crossing,CHARLS,education,relapse,80,0.287944075076453,0.287914740086334,0,0
exclude_pandemic_crossing,CHARLS,wealth,death_post,240,32079548168.1213,30398217625.3176,240,240
exclude_pandemic_crossing,CHARLS,wealth,death_pre,80,0.0543031129177727,0.0541666443995809,0,0
exclude_pandemic_crossing,CHARLS,wealth,onset,80,0.289889487152304,0.289803562093993,0,0
exclude_pandemic_crossing,CHARLS,wealth,recovery,160,0.299368995188571,0.296536170974671,0,0
exclude_pandemic_crossing,CHARLS,wealth,relapse,80,0.428628189656587,0.428628189656587,0,0
exclude_pandemic_crossing,ELSA,education,death_post,240,0.522493825539003,0.522493825539003,0,0
exclude_pandemic_crossing,ELSA,education,death_pre,80,0.0981669587856756,0.0981049544252049,0,0
exclude_pandemic_crossing,ELSA,education,onset,80,0.347288472559661,0.347288472559661,0,0
exclude_pandemic_crossing,ELSA,education,recovery,160,0.2825677750455,0.276917303771171,0,0
exclude_pandemic_crossing,ELSA,education,relapse,80,0.854847146079334,0.854847146079334,0,0
exclude_pandemic_crossing,ELSA,wealth,death_post,240,0.585072610169837,0.585072610169837,0,0
exclude_pandemic_crossing,ELSA,wealth,death_pre,80,0.111708041197414,0.111263992083152,0,0
exclude_pandemic_crossing,ELSA,wealth,onset,80,0.297559270858932,0.297559270858932,0,0
exclude_pandemic_crossing,ELSA,wealth,recovery,160,0.323657426667053,0.314113054983739,0,0
exclude_pandemic_crossing,ELSA,wealth,relapse,80,1.38003773105826,1.38003773105826,0,0
exclude_pandemic_crossing,HRS,education,death_post,240,240.966665391536,240.966665391536,216,58
exclude_pandemic_crossing,HRS,education,death_pre,80,24.5302230739635,24.5302230739635,19,0
exclude_pandemic_crossing,HRS,education,onset,80,0.282355402420224,0.282355402420224,0,0
exclude_pandemic_crossing,HRS,education,recovery,160,0.282366786017688,0.278917955305384,0,0
exclude_pandemic_crossing,HRS,education,relapse,80,0.341180074743292,0.341180074743292,0,0
exclude_pandemic_crossing,HRS,wealth,death_post,240,254.141678137474,254.141678137474,216,60
exclude_pandemic_crossing,HRS,wealth,death_pre,80,45.8344987498198,45.8344987498198,30,0
exclude_pandemic_crossing,HRS,wealth,onset,80,0.31242142411567,0.31242142411567,0,0
exclude_pandemic_crossing,HRS,wealth,recovery,160,0.321701752788395,0.313552765095278,0,0
exclude_pandemic_crossing,HRS,wealth,relapse,80,0.332655388155503,0.332655388155503,0,0
exclude_pandemic_crossing,MHAS,education,death_post,240,128.826239141643,124.010373961466,139,11
exclude_pandemic_crossing,MHAS,education,death_pre,80,41.9048933877805,41.9048933877805,22,0
exclude_pandemic_crossing,MHAS,education,onset,80,0.135383692444684,0.134987105445791,0,0
exclude_pandemic_crossing,MHAS,education,recovery,160,0.492716181574879,0.446984320083646,0,0
exclude_pandemic_crossing,MHAS,education,relapse,80,0.391950371735444,0.391950371735444,0,0
exclude_pandemic_crossing,MHAS,wealth,death_post,240,148.79578360431,139.811684284376,138,13
exclude_pandemic_crossing,MHAS,wealth,death_pre,80,48.524608969154,48.524608969154,25,0
exclude_pandemic_crossing,MHAS,wealth,onset,80,0.153500518864872,0.153385163414433,0,0
exclude_pandemic_crossing,MHAS,wealth,recovery,160,0.408600124348035,0.386295021813384,0,0
exclude_pandemic_crossing,MHAS,wealth,relapse,80,0.643332739677559,0.643332739677559,0,0
pre_pandemic_end_before_2020,CHARLS,education,death_post,240,107.27797145368,104.131223731883,164,4
pre_pandemic_end_before_2020,CHARLS,education,death_pre,80,0.124314644925444,0.123497331874198,0,0
pre_pandemic_end_before_2020,CHARLS,education,onset,80,0.230619855229159,0.230619855229159,0,0
pre_pandemic_end_before_2020,CHARLS,education,recovery,160,0.386536266555803,0.370865521125651,0,0
pre_pandemic_end_before_2020,CHARLS,education,relapse,80,0.287944075076453,0.287914740086334,0,0
pre_pandemic_end_before_2020,CHARLS,wealth,death_post,240,32079548168.1213,30398217625.3176,240,240
pre_pandemic_end_before_2020,CHARLS,wealth,death_pre,80,0.0543031129177727,0.0541666443995809,0,0
pre_pandemic_end_before_2020,CHARLS,wealth,onset,80,0.289889487152304,0.289803562093993,0,0
pre_pandemic_end_before_2020,CHARLS,wealth,recovery,160,0.299368995188571,0.296536170974671,0,0
pre_pandemic_end_before_2020,CHARLS,wealth,relapse,80,0.428628189656587,0.428628189656587,0,0
pre_pandemic_end_before_2020,ELSA,education,death_post,240,0.522493825539003,0.522493825539003,0,0
pre_pandemic_end_before_2020,ELSA,education,death_pre,80,0.0981669587856756,0.0981049544252049,0,0
pre_pandemic_end_before_2020,ELSA,education,onset,80,0.344586946175296,0.344586946175296,0,0
pre_pandemic_end_before_2020,ELSA,education,recovery,160,0.283186651089575,0.278330875254531,0,0
pre_pandemic_end_before_2020,ELSA,education,relapse,80,0.824244363435171,0.824244363435171,0,0
pre_pandemic_end_before_2020,ELSA,wealth,death_post,240,0.585072610169837,0.585072610169837,0,0
pre_pandemic_end_before_2020,ELSA,wealth,death_pre,80,0.111708041197414,0.111263992083152,0,0
