sensitivity,cohort,exposure,block,contribution_years,dfle_gap_low_minus_high,closure_error
primary_reproduction,MHAS,education,recovery,-0.510895939411164,-3.29226152349973,-4.44089209850063e-16
primary_reproduction,MHAS,education,relapse,-0.253215571940866,-3.29226152349973,-4.44089209850063e-16
primary_reproduction,MHAS,wealth,onset,-0.93314002472769,-1.51309695160574,4.44089209850063e-16
primary_reproduction,MHAS,wealth,post_disability_mortality,-0.0275699025810603,-1.51309695160574,4.44089209850063e-16
primary_reproduction,MHAS,wealth,pre_disability_mortality,-0.712086628994242,-1.51309695160574,4.44089209850063e-16
primary_reproduction,MHAS,wealth,recovery,-0.0546100543312212,-1.51309695160574,4.44089209850063e-16
primary_reproduction,MHAS,wealth,relapse,0.214309659028475,-1.51309695160574,4.44089209850063e-16
unweighted,CHARLS,education,onset,-2.87383923190443,-5.73990335585275,2.66453525910038e-15
unweighted,CHARLS,education,post_disability_mortality,-0.347082439874493,-5.73990335585275,2.66453525910038e-15
unweighted,CHARLS,education,pre_disability_mortality,-0.588753455798934,-5.73990335585275,2.66453525910038e-15
unweighted,CHARLS,education,recovery,-1.22534886535672,-5.73990335585275,2.66453525910038e-15
unweighted,CHARLS,education,relapse,-0.704879362918168,-5.73990335585275,2.66453525910038e-15
unweighted,CHARLS,wealth,onset,-2.40436529072986,-4.06415731795419,-2.66453525910038e-15
unweighted,CHARLS,wealth,post_disability_mortality,-0.241155425882559,-4.06415731795419,-2.66453525910038e-15
unweighted,CHARLS,wealth,pre_disability_mortality,-0.104985296426144,-4.06415731795419,-2.66453525910038e-15
unweighted,CHARLS,wealth,recovery,-0.866315897536893,-4.06415731795419,-2.66453525910038e-15
unweighted,CHARLS,wealth,relapse,-0.447335407378739,-4.06415731795419,-2.66453525910038e-15
unweighted,ELSA,education,onset,-1.76697946103823,-4.16083015946524,-1.77635683940025e-15
unweighted,ELSA,education,post_disability_mortality,-0.30215463379507,-4.16083015946524,-1.77635683940025e-15
unweighted,ELSA,education,pre_disability_mortality,-0.734014591709947,-4.16083015946524,-1.77635683940025e-15
unweighted,ELSA,education,recovery,-0.736685025621302,-4.16083015946524,-1.77635683940025e-15
unweighted,ELSA,education,relapse,-0.620996447300692,-4.16083015946524,-1.77635683940025e-15
unweighted,ELSA,wealth,onset,-2.79044089398616,-5.73712085628497,-2.66453525910038e-15
unweighted,ELSA,wealth,post_disability_mortality,-0.485277951559935,-5.73712085628497,-2.66453525910038e-15
unweighted,ELSA,wealth,pre_disability_mortality,-0.928132467716601,-5.73712085628497,-2.66453525910038e-15
unweighted,ELSA,wealth,recovery,-0.968097810870941,-5.73712085628497,-2.66453525910038e-15
unweighted,ELSA,wealth,relapse,-0.565171732151344,-5.73712085628497,-2.66453525910038e-15
unweighted,HRS,education,onset,-2.53440886867349,-5.23842960352767,-1.77635683940025e-15
unweighted,HRS,education,post_disability_mortality,-0.163306764192014,-5.23842960352767,-1.77635683940025e-15
unweighted,HRS,education,pre_disability_mortality,-1.26362817925443,-5.23842960352767,-1.77635683940025e-15
unweighted,HRS,education,recovery,-0.826157671281384,-5.23842960352767,-1.77635683940025e-15
unweighted,HRS,education,relapse,-0.450928120126359,-5.23842960352767,-1.77635683940025e-15
unweighted,HRS,wealth,onset,-2.48244227041743,-5.50160462315586,-1.77635683940025e-15
unweighted,HRS,wealth,post_disability_mortality,-0.214717321018663,-5.50160462315586,-1.77635683940025e-15
unweighted,HRS,wealth,pre_disability_mortality,-1.43885874391954,-5.50160462315586,-1.77635683940025e-15
unweighted,HRS,wealth,recovery,-0.979587738784272,-5.50160462315586,-1.77635683940025e-15
unweighted,HRS,wealth,relapse,-0.385998549015964,-5.50160462315586,-1.77635683940025e-15
unweighted,MHAS,education,onset,-2.26182308059372,-4.03767420245481,-8.88178419700125e-16
unweighted,MHAS,education,post_disability_mortality,-0.364254547459034,-4.03767420245481,-8.88178419700125e-16
unweighted,MHAS,education,pre_disability_mortality,-0.73914266969152,-4.03767420245481,-8.88178419700125e-16
unweighted,MHAS,education,recovery,-0.254516373637271,-4.03767420245481,-8.88178419700125e-16
unweighted,MHAS,education,relapse,-0.41793753107327,-4.03767420245481,-8.88178419700125e-16
unweighted,MHAS,wealth,onset,-1.04398110355143,-1.9701708830209,-4.44089209850063e-16
unweighted,MHAS,wealth,post_disability_mortality,-0.203716916231398,-1.9701708830209,-4.44089209850063e-16
unweighted,MHAS,wealth,pre_disability_mortality,-0.495517676892022,-1.9701708830209,-4.44089209850063e-16
unweighted,MHAS,wealth,recovery,-0.104798335527813,-1.9701708830209,-4.44089209850063e-16
unweighted,MHAS,wealth,relapse,-0.122156850818238,-1.9701708830209,-4.44089209850063e-16
interval_1_to_3_years,CHARLS,education,onset,-3.26755291614007,-5.76137956473621,0
interval_1_to_3_years,CHARLS,education,post_disability_mortality,-0.356780981657762,-5.76137956473621,0
interval_1_to_3_years,CHARLS,education,pre_disability_mortality,-0.345920344469994,-5.76137956473621,0
interval_1_to_3_years,CHARLS,education,recovery,-0.96170426594461,-5.76137956473621,0
interval_1_to_3_years,CHARLS,education,relapse,-0.829421056523776,-5.76137956473621,0
interval_1_to_3_years,CHARLS,wealth,onset,-2.1681066373267,-3.76990898415874,1.33226762955019e-15
interval_1_to_3_years,CHARLS,wealth,post_disability_mortality,-0.393342897203705,-3.76990898415874,1.33226762955019e-15
interval_1_to_3_years,CHARLS,wealth,pre_disability_mortality,-0.0808448171100844,-3.76990898415874,1.33226762955019e-15
interval_1_to_3_years,CHARLS,wealth,recovery,-0.929812681853623,-3.76990898415874,1.33226762955019e-15
interval_1_to_3_years,CHARLS,wealth,relapse,-0.197801950664632,-3.76990898415874,1.33226762955019e-15
interval_1_to_3_years,ELSA,education,onset,-2.1160281219645,-4.59073100159369,1.77635683940025e-15
interval_1_to_3_years,ELSA,education,post_disability_mortality,-0.348821321373541,-4.59073100159369,1.77635683940025e-15
interval_1_to_3_years,ELSA,education,pre_disability_mortality,-0.755121888197706,-4.59073100159369,1.77635683940025e-15
interval_1_to_3_years,ELSA,education,recovery,-0.761198659400271,-4.59073100159369,1.77635683940025e-15
interval_1_to_3_years,ELSA,education,relapse,-0.609561010657664,-4.59073100159369,1.77635683940025e-15
interval_1_to_3_years,ELSA,wealth,onset,-2.97070637516802,-5.84467950941806,2.66453525910038e-15
interval_1_to_3_years,ELSA,wealth,post_disability_mortality,-0.49653944680805,-5.84467950941806,2.66453525910038e-15
interval_1_to_3_years,ELSA,wealth,pre_disability_mortality,-0.899678513210213,-5.84467950941806,2.66453525910038e-15
interval_1_to_3_years,ELSA,wealth,recovery,-0.924435559240691,-5.84467950941806,2.66453525910038e-15
interval_1_to_3_years,ELSA,wealth,relapse,-0.553319614991082,-5.84467950941806,2.66453525910038e-15
interval_1_to_3_years,HRS,education,onset,-3.16989564723915,-6.0102537135485,-1.77635683940025e-15
interval_1_to_3_years,HRS,education,post_disability_mortality,-0.103341264551742,-6.0102537135485,-1.77635683940025e-15
interval_1_to_3_years,HRS,education,pre_disability_mortality,-1.01586054606805,-6.0102537135485,-1.77635683940025e-15
interval_1_to_3_years,HRS,education,recovery,-0.997700267583546,-6.0102537135485,-1.77635683940025e-15
interval_1_to_3_years,HRS,education,relapse,-0.723455988106018,-6.0102537135485,-1.77635683940025e-15
interval_1_to_3_years,HRS,wealth,onset,-2.96418488662722,-6.08020818988797,5.32907051820075e-15
interval_1_to_3_years,HRS,wealth,post_disability_mortality,-0.244461961062972,-6.08020818988797,5.32907051820075e-15
interval_1_to_3_years,HRS,wealth,pre_disability_mortality,-1.27163148335686,-6.08020818988797,5.32907051820075e-15
interval_1_to_3_years,HRS,wealth,recovery,-1.10286579355486,-6.08020818988797,5.32907051820075e-15
interval_1_to_3_years,HRS,wealth,relapse,-0.497064065286062,-6.08020818988797,5.32907051820075e-15
interval_1_to_3_years,MHAS,education,onset,-1.53120780423162,-1.87162834022348,-1.11022302462516e-15
interval_1_to_3_years,MHAS,education,post_disability_mortality,-0.211470793702669,-1.87162834022348,-1.11022302462516e-15
interval_1_to_3_years,MHAS,education,pre_disability_mortality,0.543487723231681,-1.87162834022348,-1.11022302462516e-15
interval_1_to_3_years,MHAS,education,recovery,-0.335002348465238,-1.87162834022348,-1.11022302462516e-15
interval_1_to_3_years,MHAS,education,relapse,-0.337435117055625,-1.87162834022348,-1.11022302462516e-15
interval_1_to_3_years,MHAS,wealth,onset,-1.33775848415035,-1.97526847337227,-4.44089209850063e-16
interval_1_to_3_years,MHAS,wealth,post_disability_mortality,-0.0161767701871503,-1.97526847337227,-4.44089209850063e-16
interval_1_to_3_years,MHAS,wealth,pre_disability_mortality,-0.535008370765097,-1.97526847337227,-4.44089209850063e-16
interval_1_to_3_years,MHAS,wealth,recovery,0.000653781057336615,-1.97526847337227,-4.44089209850063e-16
interval_1_to_3_years,MHAS,wealth,relapse,-0.0869786293270034,-1.97526847337227,-4.44089209850063e-16
exclude_explicit_proxy,CHARLS,education,onset,-3.42965847665815,-6.02438705255926,7.99360577730113e-15
exclude_explicit_proxy,CHARLS,education,post_disability_mortality,-0.377345477468456,-6.02438705255926,7.99360577730113e-15
exclude_explicit_proxy,CHARLS,education,pre_disability_mortality,-0.482554389661149,-6.02438705255926,7.99360577730113e-15
exclude_explicit_proxy,CHARLS,education,recovery,-0.946923212695706,-6.02438705255926,7.99360577730113e-15
exclude_explicit_proxy,CHARLS,education,relapse,-0.787905496075795,-6.02438705255926,7.99360577730113e-15
exclude_explicit_proxy,CHARLS,wealth,onset,-2.21318727906642,-3.75592195428927,-2.22044604925031e-15
exclude_explicit_proxy,CHARLS,wealth,post_disability_mortality,-0.386064670617423,-3.75592195428927,-2.22044604925031e-15
exclude_explicit_proxy,CHARLS,wealth,pre_disability_mortality,-0.0818257016266717,-3.75592195428927,-2.22044604925031e-15
exclude_explicit_proxy,CHARLS,wealth,recovery,-0.885759853060152,-3.75592195428927,-2.22044604925031e-15
exclude_explicit_proxy,CHARLS,wealth,relapse,-0.189084449918607,-3.75592195428927,-2.22044604925031e-15
exclude_explicit_proxy,ELSA,education,onset,-1.98790436619388,-4.51362711433257,-1.77635683940025e-15
exclude_explicit_proxy,ELSA,education,post_disability_mortality,-0.369686428163019,-4.51362711433257,-1.77635683940025e-15
exclude_explicit_proxy,ELSA,education,pre_disability_mortality,-0.742707171879626,-4.51362711433257,-1.77635683940025e-15
exclude_explicit_proxy,ELSA,education,recovery,-0.750336106733627,-4.51362711433257,-1.77635683940025e-15
exclude_explicit_proxy,ELSA,education,relapse,-0.662993041362421,-4.51362711433257,-1.77635683940025e-15
exclude_explicit_proxy,ELSA,wealth,onset,-2.8532939999746,-5.91209476761545,-1.77635683940025e-15
exclude_explicit_proxy,ELSA,wealth,post_disability_mortality,-0.597717926711647,-5.91209476761545,-1.77635683940025e-15
exclude_explicit_proxy,ELSA,wealth,pre_disability_mortality,-0.955083607303888,-5.91209476761545,-1.77635683940025e-15
exclude_explicit_proxy,ELSA,wealth,recovery,-0.94357612401725,-5.91209476761545,-1.77635683940025e-15
exclude_explicit_proxy,ELSA,wealth,relapse,-0.562423109608061,-5.91209476761545,-1.77635683940025e-15
exclude_explicit_proxy,HRS,education,onset,-2.62611380316886,-5.70381493738002,0
exclude_explicit_proxy,HRS,education,post_disability_mortality,-0.324729947211106,-5.70381493738002,0
exclude_explicit_proxy,HRS,education,pre_disability_mortality,-1.34226546320941,-5.70381493738002,0
exclude_explicit_proxy,HRS,education,recovery,-0.879467518137745,-5.70381493738002,0
exclude_explicit_proxy,HRS,education,relapse,-0.531238205652898,-5.70381493738002,0
exclude_explicit_proxy,HRS,wealth,onset,-2.60793749887494,-5.892697381351,-2.66453525910038e-15
exclude_explicit_proxy,HRS,wealth,post_disability_mortality,-0.370464649981835,-5.892697381351,-2.66453525910038e-15
exclude_explicit_proxy,HRS,wealth,pre_disability_mortality,-1.63272052821178,-5.892697381351,-2.66453525910038e-15
exclude_explicit_proxy,HRS,wealth,recovery,-0.90539665676475,-5.892697381351,-2.66453525910038e-15
exclude_explicit_proxy,HRS,wealth,relapse,-0.376178047517689,-5.892697381351,-2.66453525910038e-15
exclude_explicit_proxy,MHAS,education,onset,-2.41436328648564,-3.29226152349973,-4.44089209850063e-16
exclude_explicit_proxy,MHAS,education,post_disability_mortality,-0.152760597345936,-3.29226152349973,-4.44089209850063e-16
exclude_explicit_proxy,MHAS,education,pre_disability_mortality,0.0389738716838748,-3.29226152349973,-4.44089209850063e-16
exclude_explicit_proxy,MHAS,education,recovery,-0.510895939411164,-3.29226152349973,-4.44089209850063e-16
exclude_explicit_proxy,MHAS,education,relapse,-0.253215571940866,-3.29226152349973,-4.44089209850063e-16
exclude_explicit_proxy,MHAS,wealth,onset,-0.93314002472769,-1.51309695160574,4.44089209850063e-16
exclude_explicit_proxy,MHAS,wealth,post_disability_mortality,-0.0275699025810603,-1.51309695160574,4.44089209850063e-16
exclude_explicit_proxy,MHAS,wealth,pre_disability_mortality,-0.712086628994242,-1.51309695160574,4.44089209850063e-16
exclude_explicit_proxy,MHAS,wealth,recovery,-0.0546100543312212,-1.51309695160574,4.44089209850063e-16
exclude_explicit_proxy,MHAS,wealth,relapse,0.214309659028475,-1.51309695160574,4.44089209850063e-16
exclude_pandemic_crossing,CHARLS,education,onset,-5.26975492565861,-6.29811740526329,-7.105427357601e-15
exclude_pandemic_crossing,CHARLS,education,post_disability_mortality,-0.00481580550803384,-6.29811740526329,-7.105427357601e-15
exclude_pandemic_crossing,CHARLS,education,pre_disability_mortality,-1.01480927119966,-6.29811740526329,-7.105427357601e-15
exclude_pandemic_crossing,CHARLS,education,recovery,-0.00863725853670783,-6.29811740526329,-7.105427357601e-15
exclude_pandemic_crossing,CHARLS,education,relapse,-0.00010014436029356,-6.29811740526329,-7.105427357601e-15
exclude_pandemic_crossing,CHARLS,wealth,onset,-2.94000699797699,-3.07632058894805,1.77635683940025e-15
exclude_pandemic_crossing,CHARLS,wealth,post_disability_mortality,1.7368328997236e-12,-3.07632058894805,1.77635683940025e-15
exclude_pandemic_crossing,CHARLS,wealth,pre_disability_mortality,-0.136313590965668,-3.07632058894805,1.77635683940025e-15
exclude_pandemic_crossing,CHARLS,wealth,recovery,-7.12746898538323e-12,-3.07632058894805,1.77635683940025e-15
exclude_pandemic_crossing,CHARLS,wealth,relapse,0,-3.07632058894805,1.77635683940025e-15
exclude_pandemic_crossing,ELSA,education,onset,-2.09536145558871,-4.54354673594878,8.88178419700125e-16
exclude_pandemic_crossing,ELSA,education,post_disability_mortality,-0.343879192564273,-4.54354673594878,8.88178419700125e-16
exclude_pandemic_crossing,ELSA,education,pre_disability_mortality,-0.769129898826271,-4.54354673594878,8.88178419700125e-16
exclude_pandemic_crossing,ELSA,education,recovery,-0.725697757864635,-4.54354673594878,8.88178419700125e-16
exclude_pandemic_crossing,ELSA,education,relapse,-0.609478431104897,-4.54354673594878,8.88178419700125e-16
exclude_pandemic_crossing,ELSA,wealth,onset,-2.98406330332619,-5.84425480854587,1.77635683940025e-15
exclude_pandemic_crossing,ELSA,wealth,post_disability_mortality,-0.48616819517992,-5.84425480854587,1.77635683940025e-15
exclude_pandemic_crossing,ELSA,wealth,pre_disability_mortality,-0.926590843638748,-5.84425480854587,1.77635683940025e-15
exclude_pandemic_crossing,ELSA,wealth,recovery,-0.929901062156523,-5.84425480854587,1.77635683940025e-15
exclude_pandemic_crossing,ELSA,wealth,relapse,-0.517531404244492,-5.84425480854587,1.77635683940025e-15
exclude_pandemic_crossing,HRS,education,onset,-0.0308000170753009,-0.683145034420795,-9.99200722162641e-16
exclude_pandemic_crossing,HRS,education,post_disability_mortality,-4.9280071469963e-05,-0.683145034420795,-9.99200722162641e-16
exclude_pandemic_crossing,HRS,education,pre_disability_mortality,-0.652130916701211,-0.683145034420795,-9.99200722162641e-16
exclude_pandemic_crossing,HRS,education,recovery,-0.000164752400572306,-0.683145034420795,-9.99200722162641e-16
exclude_pandemic_crossing,HRS,education,relapse,-6.81722416480864e-08,-0.683145034420795,-9.99200722162641e-16
exclude_pandemic_crossing,HRS,wealth,onset,-0.0142608206995831,-0.575510000022034,0
exclude_pandemic_crossing,HRS,wealth,post_disability_mortality,-7.09334470607781e-05,-0.575510000022034,0
exclude_pandemic_crossing,HRS,wealth,pre_disability_mortality,-0.561035582433964,-0.575510000022034,0
exclude_pandemic_crossing,HRS,wealth,recovery,-0.000142611237123613,-0.575510000022034,0
exclude_pandemic_crossing,HRS,wealth,relapse,-5.22043023106396e-08,-0.575510000022034,0
exclude_pandemic_crossing,MHAS,education,onset,-0.0585277289861882,0.284045208208137,-2.22044604925031e-16
exclude_pandemic_crossing,MHAS,education,post_disability_mortality,0.000245176984949201,0.284045208208137,-2.22044604925031e-16
exclude_pandemic_crossing,MHAS,education,pre_disability_mortality,0.343868962393433,0.284045208208137,-2.22044604925031e-16
exclude_pandemic_crossing,MHAS,education,recovery,-0.00152121275839895,0.284045208208137,-2.22044604925031e-16
exclude_pandemic_crossing,MHAS,education,relapse,-1.99894256584288e-05,0.284045208208137,-2.22044604925031e-16
exclude_pandemic_crossing,MHAS,wealth,onset,-0.0164777432914014,-0.301964218187784,1.66533453693773e-16
exclude_pandemic_crossing,MHAS,wealth,post_disability_mortality,-0.00122450899338705,-0.301964218187784,1.66533453693773e-16
exclude_pandemic_crossing,MHAS,wealth,pre_disability_mortality,-0.284053349748699,-0.301964218187784,1.66533453693773e-16
exclude_pandemic_crossing,MHAS,wealth,recovery,-0.000220590898279523,-0.301964218187784,1.66533453693773e-16
exclude_pandemic_crossing,MHAS,wealth,relapse,1.19747439833488e-05,-0.301964218187784,1.66533453693773e-16
pre_pandemic_end_before_2020,CHARLS,education,onset,-5.26975492565861,-6.29811740526329,-7.105427357601e-15
pre_pandemic_end_before_2020,CHARLS,education,post_disability_mortality,-0.00481580550803384,-6.29811740526329,-7.105427357601e-15
pre_pandemic_end_before_2020,CHARLS,education,pre_disability_mortality,-1.01480927119966,-6.29811740526329,-7.105427357601e-15
pre_pandemic_end_before_2020,CHARLS,education,recovery,-0.00863725853670783,-6.29811740526329,-7.105427357601e-15
pre_pandemic_end_before_2020,CHARLS,education,relapse,-0.00010014436029356,-6.29811740526329,-7.105427357601e-15
pre_pandemic_end_before_2020,CHARLS,wealth,onset,-2.94000699797699,-3.07632058894805,1.77635683940025e-15
pre_pandemic_end_before_2020,CHARLS,wealth,post_disability_mortality,1.7368328997236e-12,-3.07632058894805,1.77635683940025e-15
pre_pandemic_end_before_2020,CHARLS,wealth,pre_disability_mortality,-0.136313590965668,-3.07632058894805,1.77635683940025e-15
pre_pandemic_end_before_2020,CHARLS,wealth,recovery,-7.12746898538323e-12,-3.07632058894805,1.77635683940025e-15
pre_pandemic_end_before_2020,CHARLS,wealth,relapse,0,-3.07632058894805,1.77635683940025e-15
pre_pandemic_end_before_2020,ELSA,education,onset,-2.01114317819993,-4.42796751988215,1.77635683940025e-15
pre_pandemic_end_before_2020,ELSA,education,post_disability_mortality,-0.338353122143761,-4.42796751988215,1.77635683940025e-15
pre_pandemic_end_before_2020,ELSA,education,pre_disability_mortality,-0.765144869383394,-4.42796751988215,1.77635683940025e-15
pre_pandemic_end_before_2020,ELSA,education,recovery,-0.74372105561976,-4.42796751988215,1.77635683940025e-15
pre_pandemic_end_before_2020,ELSA,education,relapse,-0.569605294535308,-4.42796751988215,1.77635683940025e-15
pre_pandemic_end_before_2020,ELSA,wealth,onset,-2.91528294841607,-5.67729823397103,0
pre_pandemic_end_before_2020,ELSA,wealth,post_disability_mortality,-0.48321334438951,-5.67729823397103,0
pre_pandemic_end_before_2020,ELSA,wealth,pre_disability_mortality,-0.92271722167431,-5.67729823397103,0
pre_pandemic_end_before_2020,ELSA,wealth,recovery,-0.88232245734546,-5.67729823397103,0
pre_pandemic_end_before_2020,ELSA,wealth,relapse,-0.473762262145676,-5.67729823397103,0
pre_pandemic_end_before_2020,HRS,education,onset,-0.0225538889732567,-0.572657640422,0
pre_pandemic_end_before_2020,HRS,education,post_disability_mortality,-3.12100265935533e-05,-0.572657640422,0
pre_pandemic_end_before_2020,HRS,education,pre_disability_mortality,-0.549952366313799,-0.572657640422,0
pre_pandemic_end_before_2020,HRS,education,recovery,-0.000120159906987612,-0.572657640422,0
pre_pandemic_end_before_2020,HRS,education,relapse,-1.52013636382324e-08,-0.572657640422,0
pre_pandemic_end_before_2020,HRS,wealth,onset,-0.0120807814444659,-0.488734462451001,5.55111512312578e-17
pre_pandemic_end_before_2020,HRS,wealth,post_disability_mortality,-5.34341485952513e-05,-0.488734462451001,5.55111512312578e-17
pre_pandemic_end_before_2020,HRS,wealth,pre_disability_mortality,-0.476471891428097,-0.488734462451001,5.55111512312578e-17
pre_pandemic_end_before_2020,HRS,wealth,recovery,-0.000128343217005691,-0.488734462451001,5.55111512312578e-17
pre_pandemic_end_before_2020,HRS,wealth,relapse,-1.2212837570876e-08,-0.488734462451001,5.55111512312578e-17
pre_pandemic_end_before_2020,MHAS,education,onset,-0.0585277289861882,0.284045208208137,-2.22044604925031e-16
pre_pandemic_end_before_2020,MHAS,education,post_disability_mortality,0.000245176984949201,0.284045208208137,-2.22044604925031e-16
pre_pandemic_end_before_2020,MHAS,education,pre_disability_mortality,0.343868962393433,0.284045208208137,-2.22044604925031e-16
pre_pandemic_end_before_2020,MHAS,education,recovery,-0.00152121275839895,0.284045208208137,-2.22044604925031e-16
pre_pandemic_end_before_2020,MHAS,education,relapse,-1.99894256584288e-05,0.284045208208137,-2.22044604925031e-16
pre_pandemic_end_before_2020,MHAS,wealth,onset,-0.0164777432914014,-0.301964218187784,1.66533453693773e-16
pre_pandemic_end_before_2020,MHAS,wealth,post_disability_mortality,-0.00122450899338705,-0.301964218187784,1.66533453693773e-16
pre_pandemic_end_before_2020,MHAS,wealth,pre_disability_mortality,-0.284053349748699,-0.301964218187784,1.66533453693773e-16
pre_pandemic_end_before_2020,MHAS,wealth,recovery,-0.000220590898279523,-0.301964218187784,1.66533453693773e-16
pre_pandemic_end_before_2020,MHAS,wealth,relapse,1.19747439833488e-05,-0.301964218187784,1.66533453693773e-16
