cohort,exposure,process,rows,persons,events,low_rows,low_events,high_rows,high_events,converged,iterations,coefficient_abs_max,warning_n,warnings,sensitivity
HRS,wealth,death_post,56577,16251,6287,25845,2843,13498,1480,TRUE,8,3.1617104895626,0,"",unweighted
HRS,wealth,death_pre,101435,23458,3337,26767,1125,39780,1076,TRUE,7,5.54054326129415,0,"",unweighted
HRS,wealth,onset,93990,21727,8588,24758,2991,36963,2698,TRUE,6,3.08729653753765,0,"",unweighted
HRS,wealth,recovery,31425,13415,7762,15191,3326,6990,2023,TRUE,6,2.44259328983096,0,"",unweighted
HRS,wealth,relapse,18980,6877,5201,7912,2381,4984,1234,TRUE,5,1.83676983673647,0,"",unweighted
MHAS,education,death_post,9310,5417,1230,8803,1180,363,33,TRUE,6,4.18749655704431,0,"",unweighted
MHAS,education,death_pre,20346,11520,994,17809,897,1984,73,TRUE,6,5.32452794198842,0,"",unweighted
MHAS,education,onset,17780,10285,2387,15663,2223,1661,125,TRUE,17,16.7347473623635,0,"",unweighted
MHAS,education,recovery,5768,4220,1901,5510,1793,190,78,TRUE,18,18.8587257167804,0,"",unweighted
MHAS,education,relapse,2232,1619,748,2093,714,93,23,TRUE,17,20.1173990718866,0,"",unweighted
MHAS,wealth,death_post,9346,5443,1235,2945,406,3081,381,TRUE,6,3.97735251568794,0,"",unweighted
MHAS,wealth,death_pre,20485,11612,1000,5573,288,7864,345,TRUE,6,5.20157947972008,0,"",unweighted
MHAS,wealth,onset,17884,10354,2399,4903,736,6813,824,TRUE,17,16.744073017554,0,"",unweighted
MHAS,wealth,recovery,5793,4242,1913,1856,618,1871,625,TRUE,18,18.862233220778,0,"",unweighted
MHAS,wealth,relapse,2239,1625,750,735,259,714,247,TRUE,17,19.851315685066,0,"",unweighted
CHARLS,education,death_post,16112,7083,1303,15459,1256,119,14,TRUE,6,5.43827659583587,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
CHARLS,education,death_pre,16578,7747,462,14886,430,384,12,TRUE,7,6.36285619168788,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
CHARLS,education,onset,15968,7461,3009,14352,2849,353,38,TRUE,5,2.84108887653033,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
CHARLS,education,recovery,11227,6321,3553,10797,3399,83,32,TRUE,6,3.34752725419116,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
CHARLS,education,relapse,4482,3087,1654,4280,1593,30,9,TRUE,5,1.64767515539842,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
CHARLS,wealth,death_post,12978,5438,512,5787,267,2756,101,TRUE,21,24.431902055608,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
CHARLS,wealth,death_pre,14050,6192,198,4277,63,4908,65,TRUE,22,25.3195988666179,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
CHARLS,wealth,onset,13650,6037,2491,4145,981,4764,643,TRUE,5,2.41360979853535,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
CHARLS,wealth,recovery,8784,4830,3055,4063,1287,1783,703,TRUE,5,2.09428317537628,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
CHARLS,wealth,relapse,3939,2673,1462,1594,625,932,308,TRUE,5,1.33166071894971,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
ELSA,education,death_post,9989,4069,966,5692,645,807,62,TRUE,6,3.64621100894821,1,non-integer #successes in a binomial glm!,interval_1_to_3_years
