cohort,exposure,process,term,estimate,hazard_ratio,sensitivity
CHARLS,wealth,recovery,sex_factormale,0.138425579630572,1.14846420925905,primary_reproduction
CHARLS,wealth,relapse,(Intercept),-1.3305919074842,0.264320761550716,primary_reproduction
CHARLS,wealth,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",0.645272367005313,1.90650622795434,primary_reproduction
CHARLS,wealth,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",0.34962423410636,1.41853441158135,primary_reproduction
CHARLS,wealth,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",0.776536532505398,2.17392987616604,primary_reproduction
CHARLS,wealth,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",0.73528754359092,2.08608174570941,primary_reproduction
CHARLS,wealth,relapse,period_factor3,-0.606954290297085,0.545008280804794,primary_reproduction
CHARLS,wealth,relapse,period_factor4,-0.353896988850684,0.701947272026487,primary_reproduction
CHARLS,wealth,relapse,seslow,0.0640383625804974,1.06613329760146,primary_reproduction
CHARLS,wealth,relapse,sesmiddle,0.152023694898929,1.16418782141806,primary_reproduction
CHARLS,wealth,relapse,sex_factormale,-0.416432735677792,0.659394865052425,primary_reproduction
ELSA,education,death_post,(Intercept),-3.64837728784793,0.0260333391376395,primary_reproduction
ELSA,education,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.50675598286169,4.5120697951605,primary_reproduction
ELSA,education,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",1.88922710280419,6.61425456614861,primary_reproduction
ELSA,education,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",3.43119341739982,30.9135134690854,primary_reproduction
ELSA,education,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",2.90594425866732,18.2824989122707,primary_reproduction
ELSA,education,death_post,origin_factorD2,-0.133840052356361,0.874729964411342,primary_reproduction
