age,origin_state,destination,annual_probability,cohort,exposure,ses
66,R1,R1,0.872678661215139,CHARLS,education,high
66,D2,R1,0.282676898895806,CHARLS,education,high
66,DEAD,R1,0,CHARLS,education,high
66,I0,D2,0,CHARLS,education,high
66,D1,D2,0,CHARLS,education,high
66,R1,D2,0.119625864306474,CHARLS,education,high
66,D2,D2,0.70783344912207,CHARLS,education,high
66,DEAD,D2,0,CHARLS,education,high
66,I0,DEAD,0.0080030324791364,CHARLS,education,high
66,D1,DEAD,0.0176387584892513,CHARLS,education,high
66,R1,DEAD,0.00769547447838699,CHARLS,education,high
66,D2,DEAD,0.00948965198212401,CHARLS,education,high
66,DEAD,DEAD,1,CHARLS,education,high
67,I0,I0,0.951874267277121,CHARLS,education,high
67,D1,I0,0,CHARLS,education,high
67,R1,I0,0,CHARLS,education,high
67,D2,I0,0,CHARLS,education,high
67,DEAD,I0,0,CHARLS,education,high
67,I0,D1,0.0391591557426679,CHARLS,education,high
67,D1,D1,0.736275971662465,CHARLS,education,high
67,R1,D1,0,CHARLS,education,high
67,D2,D1,0,CHARLS,education,high
67,DEAD,D1,0,CHARLS,education,high
67,I0,R1,0,CHARLS,education,high
67,D1,R1,0.244472863979892,CHARLS,education,high
67,R1,R1,0.870205685939299,CHARLS,education,high
67,D2,R1,0.274544050182416,CHARLS,education,high
67,DEAD,R1,0,CHARLS,education,high
67,I0,D2,0,CHARLS,education,high
67,D1,D2,0,CHARLS,education,high
67,R1,D2,0.121438857249106,CHARLS,education,high
67,D2,D2,0.715088400777528,CHARLS,education,high
67,DEAD,D2,0,CHARLS,education,high
67,I0,DEAD,0.00896657698021155,CHARLS,education,high
67,D1,DEAD,0.0192511643576428,CHARLS,education,high
67,R1,DEAD,0.00835545681159547,CHARLS,education,high
67,D2,DEAD,0.0103675490400552,CHARLS,education,high
67,DEAD,DEAD,1,CHARLS,education,high
68,I0,I0,0.949425670230651,CHARLS,education,high
68,D1,I0,0,CHARLS,education,high
68,R1,I0,0,CHARLS,education,high
68,D2,I0,0,CHARLS,education,high
68,DEAD,I0,0,CHARLS,education,high
68,I0,D1,0.0405784436240585,CHARLS,education,high
68,D1,D1,0.742423304063429,CHARLS,education,high
68,R1,D1,0,CHARLS,education,high
68,D2,D1,0,CHARLS,education,high
68,DEAD,D1,0,CHARLS,education,high
68,I0,R1,0,CHARLS,education,high
68,D1,R1,0.23651766490304,CHARLS,education,high
68,R1,R1,0.867234207826272,CHARLS,education,high
68,D2,R1,0.265898961663998,CHARLS,education,high
68,DEAD,R1,0,CHARLS,education,high
68,I0,D2,0,CHARLS,education,high
68,D1,D2,0,CHARLS,education,high
68,R1,D2,0.123676888689097,CHARLS,education,high
68,D2,D2,0.722747554033028,CHARLS,education,high
68,DEAD,D2,0,CHARLS,education,high
68,I0,DEAD,0.00999588614529079,CHARLS,education,high
68,D1,DEAD,0.0210590310335318,CHARLS,education,high
68,R1,DEAD,0.00908890348463125,CHARLS,education,high
68,D2,DEAD,0.0113534843029745,CHARLS,education,high
68,DEAD,DEAD,1,CHARLS,education,high
69,I0,I0,0.946790656063435,CHARLS,education,high
69,D1,I0,0,CHARLS,education,high
69,R1,I0,0,CHARLS,education,high
69,D2,I0,0,CHARLS,education,high
69,DEAD,I0,0,CHARLS,education,high
69,I0,D1,0.0421295627033078,CHARLS,education,high
69,D1,D1,0.748839609828772,CHARLS,education,high
69,R1,D1,0,CHARLS,education,high
69,D2,D1,0,CHARLS,education,high
69,DEAD,D1,0,CHARLS,education,high
69,I0,R1,0,CHARLS,education,high
69,D1,R1,0.228063957438051,CHARLS,education,high
69,R1,R1,0.863673551878353,CHARLS,education,high
69,D2,R1,0.256697027139173,CHARLS,education,high
69,DEAD,R1,0,CHARLS,education,high
69,I0,D2,0,CHARLS,education,high
69,D1,D2,0,CHARLS,education,high
69,R1,D2,0.126418840175435,CHARLS,education,high
69,D2,D2,0.730836407701072,CHARLS,education,high
69,DEAD,D2,0,CHARLS,education,high
69,I0,DEAD,0.0110797812332576,CHARLS,education,high
69,D1,DEAD,0.0230964327331768,CHARLS,education,high
69,R1,DEAD,0.00990760794621211,CHARLS,education,high
69,D2,DEAD,0.0124665651597559,CHARLS,education,high
69,DEAD,DEAD,1,CHARLS,education,high
70,I0,I0,0.943963043729109,CHARLS,education,high
70,D1,I0,0,CHARLS,education,high
70,R1,I0,0,CHARLS,education,high
70,D2,I0,0,CHARLS,education,high
70,DEAD,I0,0,CHARLS,education,high
70,I0,D1,0.0438344376523051,CHARLS,education,high
70,D1,D1,0.755509042829037,CHARLS,education,high
70,R1,D1,0,CHARLS,education,high
70,D2,D1,0,CHARLS,education,high
70,DEAD,D1,0,CHARLS,education,high
70,I0,R1,0,CHARLS,education,high
70,D1,R1,0.2190868662629,CHARLS,education,high
70,R1,R1,0.859421297007348,CHARLS,education,high
70,D2,R1,0.246908385561801,CHARLS,education,high
70,DEAD,R1,0,CHARLS,education,high
70,I0,D2,0,CHARLS,education,high
70,D1,D2,0,CHARLS,education,high
70,R1,D2,0.129753195642407,CHARLS,education,high
70,D2,D2,0.73936191990004,CHARLS,education,high
70,DEAD,D2,0,CHARLS,education,high
70,I0,DEAD,0.0122025186185858,CHARLS,education,high
