"file_role","variable","storage_class","variable_label","value_labels","nonmissing_n","unique_nonmissing_n"
"wave11_eol_all","eilexta3","haven_labelled/vctrs_vctr/double","Number of times the deceased stayed in: 3rd other place","Refused=-9 | Don't know=-8 | Not applicable=-1",347,1
"wave11_eol_all","eilexta4","haven_labelled/vctrs_vctr/double","Number of times the deceased stayed in: 4th other place","Refused=-9 | Don't know=-8 | Not applicable=-1",347,1
"wave11_eol_all","eilexta5","haven_labelled/vctrs_vctr/double","Number of times the deceased stayed in: 5th other place","Refused=-9 | Don't know=-8 | Not applicable=-1",347,1
"wave11_eol_all","eilextb1","haven_labelled/vctrs_vctr/double","Length of time the deceased stayed in: 1st other place","Refused=-9 | Don't know=-8 | Not applicable=-1 | One day or more, but less than one week=1 | One week or more but less than one month=2 | One month or more but less than 3 months=3 | 3 months or more but less than 6 months=4 | 6 months or more but less than a year=5 | A year or more=6",347,4
"wave11_eol_all","eilextb2","haven_labelled/vctrs_vctr/double","Length of time the deceased stayed in: 2nd other place","Refused=-9 | Don't know=-8 | Not applicable=-1 | One day or more, but less than one week=1 | One week or more but less than one month=2 | One month or more but less than 3 months=3 | 3 months or more but less than 6 months=4 | 6 months or more but less than a year=5 | A year or more=6",347,1
"wave11_eol_all","eilextb3","haven_labelled/vctrs_vctr/double","Length of time the deceased stayed in: 3rd other place","Refused=-9 | Don't know=-8 | Not applicable=-1 | One day or more, but less than one week=1 | One week or more but less than one month=2 | One month or more but less than 3 months=3 | 3 months or more but less than 6 months=4 | 6 months or more but less than a year=5 | A year or more=6",347,1
"wave11_eol_all","eilextb4","haven_labelled/vctrs_vctr/double","Length of time the deceased stayed in: 4th other place","Refused=-9 | Don't know=-8 | Not applicable=-1 | One day or more, but less than one week=1 | One week or more but less than one month=2 | One month or more but less than 3 months=3 | 3 months or more but less than 6 months=4 | 6 months or more but less than a year=5 | A year or more=6",347,1
"wave11_eol_all","eilextb5","haven_labelled/vctrs_vctr/double","Length of time the deceased stayed in: 5th other place","Refused=-9 | Don't know=-8 | Not applicable=-1 | One day or more, but less than one week=1 | One week or more but less than one month=2 | One month or more but less than 3 months=3 | 3 months or more but less than 6 months=4 | 6 months or more but less than a year=5 | A year or more=6",347,1
"wave11_eol_all","eidistph","haven_labelled/vctrs_vctr/double","Best fitting description of the deceased's physical health and activity during t","Refused=-9 | Don't know=-8 | Not applicable=-1 | Deceased was active and disability free, and died suddenly=1 | Deceased was mostly active and disability free, but declined during the last few=2 | Deceased had times of being seriously disabled, mixed with times of being active=3 | Deceased gradually become more and more disabled, without times of being active=4 | None of these=5",347,5
"wave11_eol_all","eihcnt","haven_labelled/vctrs_vctr/double","DV: Number of EiALD=Yes","Refused=-9 | Don't know=-8 | Not applicable=-1",347,15
"wave11_eol_all","eiadlma","haven_labelled/vctrs_vctr/double","ADL: difficulty dressing, including putting on shoes and socks (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",347,3
"wave11_eol_all","eiadlmb","haven_labelled/vctrs_vctr/double","ADL: difficulty walking across a room (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",347,3
"wave11_eol_all","eiadlmc","haven_labelled/vctrs_vctr/double","ADL: difficulty bathing or showering (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",347,3
"wave11_eol_all","eiadlmd","haven_labelled/vctrs_vctr/double","ADL: difficulty eating, such as cutting up food (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",347,3
"wave11_eol_all","eiadlme","haven_labelled/vctrs_vctr/double","ADL: difficulty getting in or out of bed (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",347,3
"wave11_eol_all","eiadlmf","haven_labelled/vctrs_vctr/double","ADL: difficulty using the toilet, including getting up and down (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",347,3
"wave11_eol_all","eiadlmg","haven_labelled/vctrs_vctr/double","IADL: difficulty preparing hot meals (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",347,3
"wave11_eol_all","eiadlmh","haven_labelled/vctrs_vctr/double","IADL: difficulty shopping for groceries (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",347,3
"wave11_eol_all","eiadlmi","haven_labelled/vctrs_vctr/double","IADL: difficulty making telephone calls (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",347,3
"wave11_eol_all","eiadlmj","haven_labelled/vctrs_vctr/double","IADL: difficulty taking medications (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",347,3
"wave11_eol_all","eiadlmj2","haven_labelled/vctrs_vctr/double","IADL: difficulty doing work around the house or garden (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",347,3
"wave11_eol_all","eiadlml","haven_labelled/vctrs_vctr/double","IADL: difficulty managing money (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",347,3
"wave11_eol_all","eiadlmm","haven_labelled/vctrs_vctr/double","IADL: difficulty using a map to figure out how to get around in a strange place","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",347,3
"wave11_eol_all","eiadlk","haven_labelled/vctrs_vctr/double","Whether there were any other activities that deceased had difficulty with","Refused=-9 | Don't know=-8 | Not applicable=-1 | Yes=1 | No=2",347,3
"wave11_eol_all","eiadlmaf","haven_labelled/vctrs_vctr/double","Other difficulty: bedbound/all functions impaired","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,4
"wave11_eol_all","eiadlmph","haven_labelled/vctrs_vctr/double","Other difficulty: physical abilities","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,4
"wave11_eol_all","eiadlmmn","haven_labelled/vctrs_vctr/double","Other difficulty: mental abilities","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,4
"wave11_eol_all","eiadlm95","haven_labelled/vctrs_vctr/double","Other difficulty: other answer - not codeable (merged)","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,4
"wave11_eol_all","eiwhlp1","haven_labelled/vctrs_vctr/double","Who helped: Husband or wife or partner","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,4
"wave11_eol_all","eiwhlp2","haven_labelled/vctrs_vctr/double","Who helped: Son","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,4
"wave11_eol_all","eiwhlp3","haven_labelled/vctrs_vctr/double","Who helped: Daughter","Refused=-9 | Don't know=-8 | Not applicable=-1 | Not mentioned=0 | Mentioned=1",347,4
