cohort,metric,lower_or_equal_null,higher_or_equal_null,n,point_estimate,valid_replicates,bootstrap_mean,bootstrap_sd,ci_low,median,ci_high,bootstrap_bias,null_value,bootstrap_p_two_sided
HRS,population_contribution_relapse,448,52,500,-0.25917380642043,500,-0.262988191223205,0.201304117926003,-0.676029702386636,-0.25804152219185,0.151772070279766,-0.00381438480277524,0,0.211576846307385
HRS,population_fdfle_gap,500,0,500,-4.56340120602628,500,-4.54965147035896,0.520185150921869,-5.61345146022019,-4.55035327514083,-3.55291338283059,0.0137497356673162,0,0.00399201596806387
HRS,population_recovery_relapse,500,0,500,-1.10292298574601,500,-1.13970216489175,0.367924074003512,-1.91905364466571,-1.13660233379625,-0.456740345733794,-0.0367791791457406,0,0.00399201596806387
MHAS,population_contribution_initial_state,942,58,1000,-0.0721099625039204,1000,-0.0941706624549404,0.0615654067061331,-0.221797654150707,-0.0934094929929704,0.0239942900901808,-0.02206069995102,0,0.117882117882118
MHAS,population_contribution_onset,928,72,1000,-0.534336635791804,1000,-0.572840822861336,0.394793685279682,-1.39164637559718,-0.568495044906854,0.147157048156081,-0.0385041870695316,0,0.145854145854146
MHAS,population_contribution_post_difficulty_mortality,610,390,1000,-0.021937533626731,1000,-0.0528677910952042,0.195087197433996,-0.413270285847052,-0.0543268992567799,0.331330367023172,-0.0309302574684732,0,0.781218781218781
MHAS,population_contribution_pre_difficulty_mortality,986,15,1000,-0.661013270369986,1000,-0.646338394758141,0.293531963280119,-1.22920203756552,-0.64955890843976,-0.0666113826607906,0.0146748756118453,0,0.031968031968032
MHAS,population_contribution_recovery,493,507,1000,0.00294372034789114,1000,0.00983648709010132,0.276089088528696,-0.522751292486903,0.00722831966670857,0.53130888122584,0.00689276674221018,0,0.987012987012987
MHAS,population_contribution_relapse,140,860,1000,0.349993891700807,1000,0.37888762359717,0.369240418175615,-0.331407940060211,0.364961571079776,1.14301814215274,0.0288937318963626,0,0.281718281718282
MHAS,population_fdfle_gap,905,95,1000,-0.936459790243743,1000,-0.97749356048235,0.714759214802444,-2.34215846831237,-0.973087444623458,0.396511847263686,-0.0410337702386071,0,0.191808191808192
MHAS,population_recovery_relapse,187,813,1000,0.352937612048698,1000,0.388724110687271,0.464979075924651,-0.506711445531341,0.36205886487364,1.36635881422182,0.0357864986385727,0,0.375624375624376
