cohort,metric,half_replicates,full_replicates,half_ci_low,half_ci_high,full_ci_low,full_ci_high,max_endpoint_drift_years,relative_halfwidth_change,requires_1000
ELSA,population_contribution_onset,500,1000,-2.38539880360366,-1.27163375949854,-2.39700291471027,-1.28671556127116,0.0150818017726269,0.00313224378828216,FALSE
ELSA,population_contribution_post_difficulty_mortality,500,1000,-1.32276398697321,-0.401977573287018,-1.34793700457998,-0.3542353466733,0.0477422266137183,0.0733774001887933,FALSE
ELSA,population_contribution_pre_difficulty_mortality,500,1000,-1.87570346588529,-0.591932165942069,-1.88289036987362,-0.586974033289252,0.00718690398833166,0.00937177524373102,FALSE
ELSA,population_contribution_recovery,500,1000,-1.22702671927616,-0.107758831319216,-1.20772785014724,-0.0923103501036206,0.01929886912892,0.00345197014855367,FALSE
ELSA,population_contribution_relapse,500,1000,-1.15004775221252,-0.183832304345859,-1.14846484130181,-0.178042050985995,0.00579025335986411,0.0043355767106265,FALSE
ELSA,population_fdfle_gap,500,1000,-7.65313825102811,-5.25748437410415,-7.68128367659378,-5.23582010434263,0.0281454255656772,0.0203682017153668,FALSE
ELSA,population_recovery_relapse,500,1000,-2.09319673770806,-0.658106560037295,-2.16347100318433,-0.582838429982856,0.0752681300544386,0.0920785753743631,FALSE
HRS,conditional_fdfle_gap,500,1000,-4.61998823790238,-2.82776617116326,-4.71851953206862,-2.85806028808397,0.0985312941662437,0.0366775985371113,FALSE
HRS,population_contribution_initial_state,500,1000,-1.18052067611748,-0.641157734439667,-1.18322764643937,-0.65211195281765,0.0109542183779836,0.0155281573395912,FALSE
HRS,population_contribution_onset,500,1000,-1.44518957656081,-0.626795648234037,-1.44568685106947,-0.62691396458066,0.000497274508664214,0.000462836725903627,FALSE
HRS,population_contribution_post_difficulty_mortality,500,1000,-0.558205072265362,0.299049488041951,-0.561317955251915,0.258243631250538,0.0408058567914138,0.0459916306786877,FALSE
HRS,population_contribution_pre_difficulty_mortality,500,1000,-1.39646839768521,-0.542231162517791,-1.34014714552132,-0.548688442429481,0.0563212521638958,0.0793200350572185,FALSE
HRS,population_contribution_recovery,500,1000,-1.51254490232209,-0.446480331425729,-1.49177099539187,-0.447777274715168,0.0207739069302277,0.0211407882849716,FALSE
HRS,population_contribution_relapse,500,1000,-0.902517188023557,-0.201225844258321,-0.91562273493664,-0.21544876487143,0.0142229206131087,0.00159585152804461,FALSE
HRS,population_fdfle_gap,500,1000,-5.46271915218045,-3.59617644952634,-5.52850649558951,-3.61247268716847,0.0657873434090641,0.0258299752068107,FALSE
HRS,population_recovery_relapse,500,1000,-2.20961330522885,-0.850640068230763,-2.18821020834525,-0.854360717274125,0.0214030968835983,0.0188355178714995,FALSE
MHAS,conditional_fdfle_gap,500,1000,-1.93975862889672,0.675619972915707,-1.9951796756549,0.685354431704157,0.0554210467581788,0.0243069115844309,FALSE
MHAS,population_contribution_initial_state,500,1000,-0.144537864258727,0.0763155154023795,-0.13649135847682,0.0763207219089234,0.00804650578190627,0.0377859154460903,FALSE
MHAS,population_contribution_onset,500,1000,-0.886414083532888,0.4830726795703,-0.887503248932864,0.462839094857483,0.0202335847128167,0.0141774561102059,FALSE
MHAS,population_contribution_post_difficulty_mortality,500,1000,-1.00860640383052,0.274352655808525,-1.00504753577495,0.222822207764712,0.051530448043813,0.044865765598696,FALSE
MHAS,population_contribution_pre_difficulty_mortality,500,1000,-1.26149466126946,0.11548149039891,-1.20141949671948,0.12573293583782,0.0600751645499797,0.0375418210363846,FALSE
MHAS,population_contribution_recovery,500,1000,-0.345021140925684,0.766952605096175,-0.324722141877064,0.771627060061597,0.0202989990486203,0.0142514301607277,FALSE
MHAS,population_contribution_relapse,500,1000,-0.354977892075434,0.884849508525566,-0.34719566945283,0.880452895253123,0.00778222262260436,0.00992045789420566,FALSE
MHAS,population_fdfle_gap,500,1000,-1.91279165462453,0.82069626429018,-1.99436884599469,0.836053937413777,0.0815771913701566,0.0342474859451994,FALSE
MHAS,population_recovery_relapse,500,1000,-0.384847726746561,1.35542823684031,-0.383310553943115,1.37635030033915,0.0209220634988387,0.011016265235553,FALSE
