cohort,concept,n_variables,variables,available
HRS,age,16,r10agey_b;r11agey_b;r12agey_b;r13agey_b;r14agey_b;r15agey_b;r16agey_b;r1agey_b;r2agey_b;r3agey_b;r4agey_b;r5agey_b;r6agey_b;r7agey_b;r8agey_b;r9agey_b,TRUE
HRS,sex,1,ragender,TRUE
HRS,education,18,raeduc;raedyrs;s10edyrs;s11edyrs;s12edyrs;s13edyrs;s14edyrs;s15edyrs;s16edyrs;s1edyrs;s2edyrs;s3edyrs;s4edyrs;s5edyrs;s6edyrs;s7edyrs;s8edyrs;s9edyrs,TRUE
HRS,adl_count,15,r10adl5a;r11adl5a;r12adl5a;r13adl5a;r14adl5a;r15adl5a;r16adl5a;r2adl5a;r3adl5a;r4adl5a;r5adl5a;r6adl5a;r7adl5a;r8adl5a;r9adl5a,TRUE
HRS,iadl_count,15,r10iadl5a;r11iadl5a;r12iadl5a;r13iadl5a;r14iadl5a;r15iadl5a;r16iadl5a;r2iadl5a;r3iadl5a;r4iadl5a;r5iadl5a;r6iadl5a;r7iadl5a;r8iadl5a;r9iadl5a,TRUE
HRS,adl_item,185,r10bath;r10batha;r10bed;r10beda;r10dress;r10dressa;r10eat;r10eata;r10toilt;r10toilta;r10walkr;r10walkra;r11bath;r11batha;r11bed;r11beda;r11dress;r11dressa;r11eat;r11eata;r11toilt;r11toilta;r11walkr;r11walkra;r12bath;r12batha;r12bed;r12beda;r12dress;r12dressa;r12eat;r12eata;r12toilt;r12toilta;r12walkr;r12walkra;r13bath;r13batha;r13bed;r13beda;r13dress;r13dressa;r13eat;r13eata;r13toilt;r13toilta;r13walkr;r13walkra;r14bath;r14batha;r14bed;r14beda;r14dress;r14dressa;r14eat;r14eata;r14toilt;r14toilta;r14walkr;r14walkra;r15bath;r15batha;r15bed;r15beda;r15dress;r15dressa;r15eat;r15eata;r15toilt;r15toilta;r15walkr;r15walkra;r16bath;r16batha;r16bed;r16beda;r16dress;r16dressa;r16eat;r16eata;r16toilt;r16toilta;r16walkr;r16walkra;r1bath;r1bed;r1dress;r1eat;r1walkr;r2bath;r2batha;r2bed;r2beda;r2dress;r2dressa;r2eat;r2eata;r2toilt;r2toilta;r2walkr;r2walkra;r3bath;r3batha;r3bed;r3beda;r3dress;r3dressa;r3eat;r3eata;r3toilt;r3toilta;r3walkr;r3walkra;r4bath;r4batha;r4bed;r4beda;r4dress;r4dressa;r4eat;r4eata;r4toilt;r4toilta;r4walkr;r4walkra;r5bath;r5batha;r5bed;r5beda;r5dress;r5dressa;r5eat;r5eata;r5toilt;r5toilta;r5walkr;r5walkra;r6bath;r6batha;r6bed;r6beda;r6dress;r6dressa;r6eat;r6eata;r6toilt;r6toilta;r6walkr;r6walkra;r7bath;r7batha;r7bed;r7beda;r7dress;r7dressa;r7eat;r7eata;r7toilt;r7toilta;r7walkr;r7walkra;r8bath;r8batha;r8bed;r8beda;r8dress;r8dressa;r8eat;r8eata;r8toilt;r8toilta;r8walkr;r8walkra;r9bath;r9batha;r9bed;r9beda;r9dress;r9dressa;r9eat;r9eata;r9toilt;r9toilta;r9walkr;r9walkra,TRUE
HRS,iadl_item,148,r10meals;r10mealsa;r10meds;r10medsa;r10money;r10moneya;r10phone;r10phonea;r10shop;r10shopa;r11meals;r11mealsa;r11meds;r11medsa;r11money;r11moneya;r11phone;r11phonea;r11shop;r11shopa;r12meals;r12mealsa;r12meds;r12medsa;r12money;r12moneya;r12phone;r12phonea;r12shop;r12shopa;r13meals;r13mealsa;r13meds;r13medsa;r13money;r13moneya;r13phone;r13phonea;r13shop;r13shopa;r14meals;r14mealsa;r14meds;r14medsa;r14money;r14moneya;r14phone;r14phonea;r14shop;r14shopa;r15meals;r15mealsa;r15meds;r15medsa;r15money;r15moneya;r15phone;r15phonea;r15shop;r15shopa;r16meals;r16mealsa;r16meds;r16medsa;r16money;r16moneya;r16phone;r16phonea;r16shop;r16shopa;r2mealsa;r2meds;r2medsa;r2money;r2moneya;r2phone;r2phonea;r2shopa;r3meals;r3mealsa;r3meds;r3medsa;r3money;r3moneya;r3phone;r3phonea;r3shop;r3shopa;r4meals;r4mealsa;r4meds;r4medsa;r4money;r4moneya;r4phone;r4phonea;r4shop;r4shopa;r5meals;r5mealsa;r5meds;r5medsa;r5money;r5moneya;r5phone;r5phonea;r5shop;r5shopa;r6meals;r6mealsa;r6meds;r6medsa;r6money;r6moneya;r6phone;r6phonea;r6shop;r6shopa;r7meals;r7mealsa;r7meds;r7medsa;r7money;r7moneya;r7phone;r7phonea;r7shop;r7shopa;r8meals;r8mealsa;r8meds;r8medsa;r8money;r8moneya;r8phone;r8phonea;r8shop;r8shopa;r9meals;r9mealsa;r9meds;r9medsa;r9money;r9moneya;r9phone;r9phonea;r9shop;r9shopa,TRUE
HRS,proxy,32,r10proxy;r11proxy;r12proxy;r13proxy;r14proxy;r15proxy;r16proxy;r1proxy;r2proxy;r3proxy;r4proxy;r5proxy;r6proxy;r7proxy;r8proxy;r9proxy;s10proxy;s11proxy;s12proxy;s13proxy;s14proxy;s15proxy;s16proxy;s1proxy;s2proxy;s3proxy;s4proxy;s5proxy;s6proxy;s7proxy;s8proxy;s9proxy,TRUE
HRS,respondent_weight,48,r10wtcrnh;r10wtresp;r11wtcrnh;r11wtresp;r12wtcrnh;r12wtresp;r13wtcrnh;r13wtresp;r14wtcrnh;r14wtresp;r15wtcrnh;r15wtresp;r16wtcrnh;r16wtresp;r1wtcrnh;r1wtresp;r2wtcrnh;r2wtresp;r3wtcrnh;r3wtresp;r4wtcrnh;r4wtresp;r5wtcrnh;r5wtresp;r6wtcrnh;r6wtresp;r7wtcrnh;r7wtresp;r8wtcrnh;r8wtresp;r9wtcrnh;r9wtresp;s10wtcrnh;s11wtcrnh;s12wtcrnh;s13wtcrnh;s14wtcrnh;s15wtcrnh;s16wtcrnh;s1wtcrnh;s2wtcrnh;s3wtcrnh;s4wtcrnh;s5wtcrnh;s6wtcrnh;s7wtcrnh;s8wtcrnh;s9wtcrnh,TRUE
HRS,household_wealth,32,h10atotb;h10atotw;h11atotb;h11atotw;h12atotb;h12atotw;h13atotb;h13atotw;h14atotb;h14atotw;h15atotb;h15atotw;h16atotb;h16atotw;h1atotb;h1atotw;h2atotb;h2atotw;h3atotb;h3atotw;h4atotb;h4atotw;h5atotb;h5atotw;h6atotb;h6atotw;h7atotb;h7atotw;h8atotb;h8atotw;h9atotb;h9atotw,TRUE
