cohort,exposure,metric,point_estimate,valid_replicates,bootstrap_mean,bootstrap_sd,ci_low,bootstrap_median,ci_high
CHARLS,wealth,gap_dfle,-3.75592195428928,497,-3.76225051537662,0.5195265641438,-4.89351338076581,-3.72878199281597,-2.69892323596721
CHARLS,wealth,gap_disabled,1.0887624381692,497,0.987761210190468,0.720293983512493,-0.375246381265685,0.969722029666453,2.37020944907213
CHARLS,wealth,gap_tle,-2.66715951612008,497,-2.77448930518615,0.85887754885123,-4.43653006645987,-2.81647067596867,-1.05061789903319
CHARLS,wealth,high_dfle,18.0556596466492,497,18.0621512750914,0.529010140763267,16.9988558898304,18.0607925535148,19.2014885878702
CHARLS,wealth,high_disabled,11.5538544568737,497,11.6598863463725,0.777325113511892,10.2650432694577,11.6378973284359,13.2060686659602
CHARLS,wealth,high_residual_age100,0.251768719096265,497,0.261447966624176,0.0829782431069806,0.0964419902984052,0.25576817530937,0.428033995502332
CHARLS,wealth,high_tle,29.6095141035229,497,29.7220376214639,0.877984784534347,27.9411594033414,29.683717517547,31.5588961172896
CHARLS,wealth,low_dfle,14.29973769236,497,14.2999007597148,0.36042470624042,13.5733314473327,14.2993258694715,15.0036860367624
CHARLS,wealth,low_disabled,12.6426168950429,497,12.6476475565629,0.646857901424531,11.4875037625212,12.6223680439266,13.9865723151947
CHARLS,wealth,low_residual_age100,0.145405180561634,497,0.150804672554364,0.0643329873776814,0.0422673000438361,0.14026696806171,0.300728331106757
CHARLS,wealth,low_tle,26.9423545874029,497,26.9475483162777,0.73134398774878,25.5936891394221,26.8834204971849,28.4863801373314
CHARLS,wealth,recovery_relapse_contribution,-1.07484430297876,497,-1.0829141047012,0.35809177385787,-1.81231051307924,-1.09526440727477,-0.371603139621591
CHARLS,wealth,recovery_relapse_percent,28.6173226190518,497,28.4065541994102,7.78800678431133,12.1110502157206,28.9663561183076,43.0018872481126
ELSA,education,closure_error,,500,3.46389583683048e-17,2.08333848978403e-15,-4.44089209850063e-15,0,4.44089209850063e-15
ELSA,education,contribution_onset,-1.99509584067465,500,-1.97655897798139,0.292339607653219,-2.57462007314024,-1.97360090875502,-1.37373258601787
ELSA,education,contribution_post_disability_mortality,-0.339414216938302,500,-0.339252635276019,0.141627914375112,-0.640089436128479,-0.33098232279382,-0.0735835967924327
ELSA,education,contribution_pre_disability_mortality,-0.77473167162655,500,-0.749832894923617,0.340872312711904,-1.46768580871853,-0.73963436878129,-0.0723704016615754
ELSA,education,contribution_recovery,-0.713618029837661,500,-0.715596182602047,0.151842764890816,-1.01087741691059,-0.708028753853589,-0.374901369794907
ELSA,education,contribution_relapse,-0.647740276372859,500,-0.647748475084237,0.139908782676885,-0.916589929878764,-0.649103896472792,-0.367500746738241
ELSA,education,gap_dfle,-4.47060003545002,500,-4.42898916586731,0.533048639692271,-5.47715502256868,-4.42991661591521,-3.40380525260089
ELSA,education,gap_disabled,1.22611844422883,500,1.23705634507127,0.498103380920238,0.169496720262877,1.2547153067514,2.181639336591
ELSA,education,gap_tle,-3.2444815912212,500,-3.19193282079604,0.78816857668799,-4.76247126494008,-3.19357798993772,-1.72607234240453
ELSA,education,high_dfle,21.4240097246755,500,21.386497750928,0.47102372943833,20.4839313104371,21.3632207772535,22.2976981390438
ELSA,education,high_disabled,5.58153364875216,500,5.60348795929091,0.498122152113299,4.75011398897225,5.5647126298065,6.68760815975367
ELSA,education,high_residual_age100,0.0578325279200391,500,0.0653010661231537,0.0451912994696138,0.00785797220273874,0.054381054493892,0.17187022523267
ELSA,education,high_tle,27.0055433734276,500,26.9899857102189,0.741838680366621,25.6900515346845,26.984063883899,28.5653857459351
ELSA,education,low_dfle,16.9534096892254,500,16.9575085850607,0.224327784322269,16.5302780993732,16.9546277271893,17.3933310774947
ELSA,education,low_disabled,6.80765209298099,500,6.84054430436217,0.277753050536589,6.34765103978938,6.8115403506785,7.46561619168245
ELSA,education,low_residual_age100,0.0123840493307893,500,0.0180538082306136,0.0187939245742959,0.000828261492898712,0.0113491925435663,0.0703588688371377
ELSA,education,low_tle,23.7610617822064,500,23.7980528894228,0.367225444110044,23.1601893598503,23.7895741442714,24.5507854264293
