cohort,metric,half_replicates,full_replicates,half_ci_low,half_ci_high,full_ci_low,full_ci_high,max_endpoint_drift_years,relative_halfwidth_change,requires_1000
ELSA,population_contribution_onset,250,500,-2.77679767556439,-1.91199270381121,-2.78038487247206,-1.93371825745242,0.0217255536412018,0.0214232572913176,FALSE
ELSA,population_contribution_post_difficulty_mortality,250,500,-0.85175090527713,-0.406867478225743,-0.853429066262179,-0.407067664774198,0.00167816098504925,0.00331116093745444,FALSE
ELSA,population_contribution_pre_difficulty_mortality,250,500,-1.20509023326695,-0.384430429471419,-1.20617843310559,-0.385517782884058,0.00108819983864228,1.03139586767019e-06,FALSE
ELSA,population_contribution_recovery,250,500,-1.54705858466473,-0.9694849237916,-1.55452980224759,-0.974653224217741,0.00747121758286062,0.00397139192023287,FALSE
ELSA,population_contribution_relapse,250,500,-0.985386373750059,-0.510790502292672,-0.996292758278787,-0.513467447743789,0.0109063845287281,0.0170443406715636,FALSE
ELSA,population_fdfle_gap,250,500,-7.93839819525398,-6.50119473943298,-7.91435737232417,-6.4943334087846,0.0240408229298099,0.0120980298378975,FALSE
ELSA,population_recovery_relapse,250,500,-2.39296533758329,-1.62440146525877,-2.39508098176555,-1.62559807180225,0.00211564418225718,0.00119435744040608,FALSE
HRS,conditional_fdfle_gap,250,500,-6.20884097038704,-5.29891899179376,-6.20347762522761,-5.34717645720185,0.0482574654080832,0.0626191024486553,FALSE
HRS,population_contribution_initial_state,250,500,-1.77944778066258,-1.49201931020847,-1.77017014219895,-1.49685896079648,0.00927763846363261,0.0516528046134287,FALSE
HRS,population_contribution_onset,250,500,-2.5034072500184,-1.98531494406972,-2.50411343291611,-1.97000540324987,0.015309540819846,0.0299859257453379,FALSE
HRS,population_contribution_post_difficulty_mortality,250,500,-0.441432752738641,-0.196885015994609,-0.441357395922694,-0.213824971188601,0.0169399551939924,0.0747819218725602,FALSE
HRS,population_contribution_pre_difficulty_mortality,250,500,-1.61490796487373,-1.0964892717001,-1.59662975810068,-1.10119585276845,0.01827820677305,0.046393247603822,FALSE
HRS,population_contribution_recovery,250,500,-1.34879364828236,-0.958437602602695,-1.36737235754937,-0.95022230763691,0.0185787092670087,0.0642310943949697,FALSE
HRS,population_contribution_relapse,250,500,-0.649564764569211,-0.33766122522651,-0.658220641509026,-0.337405848043123,0.00865587693981462,0.0277769426619287,FALSE
HRS,population_fdfle_gap,250,500,-7.68199080542318,-6.77414770055166,-7.65264710045183,-6.79925782315016,0.0293437049713479,0.0638088959144517,FALSE
HRS,population_recovery_relapse,250,500,-1.91665749308763,-1.3854259510649,-1.93799565666773,-1.38197942506152,0.0213381635801011,0.0445754785105592,FALSE
MHAS,conditional_fdfle_gap,500,1000,-2.83856733394819,-0.240050926072417,-2.84077695862278,-0.281985172010985,0.0419342459385685,0.0155247572201174,FALSE
MHAS,population_contribution_initial_state,500,1000,-0.185440605556196,0.086419570590621,-0.195337168614937,0.0737850966613032,0.0126344739293178,0.0101734832967708,FALSE
MHAS,population_contribution_onset,500,1000,-1.70290641687696,-0.191945962652943,-1.69536622691626,-0.166903666798569,0.0250422958543734,0.0114507913705936,FALSE
MHAS,population_contribution_post_difficulty_mortality,500,1000,-0.406949755898108,0.261266334702446,-0.404054255042018,0.271012319378642,0.0097459846761967,0.0101478640473137,FALSE
MHAS,population_contribution_pre_difficulty_mortality,500,1000,-1.14985422004465,0.0151994025054628,-1.16177671892649,-0.019960710935633,0.0351601134410958,0.0203514527705289,FALSE
MHAS,population_contribution_recovery,500,1000,-0.568496455083758,0.421998272338626,-0.562058405230764,0.46773993252375,0.0457416601851244,0.0381663175120597,FALSE
MHAS,population_contribution_relapse,500,1000,-0.339253695038521,0.905585084871022,-0.346179813267486,0.91164854722196,0.00692611822896505,0.0103269897451258,FALSE
MHAS,population_fdfle_gap,500,1000,-2.66349539796518,-0.122459724453677,-2.67552387129571,-0.142071278682403,0.0196115542287266,0.00299318050012556,FALSE
MHAS,population_recovery_relapse,500,1000,-0.611123170420769,1.10034604471923,-0.608892927777907,1.04597409787582,0.0543719468434178,0.0342034668700471,FALSE
