cohort,metric,point_estimate,household_ci_low,household_ci_high,household_bootstrap_sd,psu_bootstrap_mean,psu_bootstrap_sd,psu_ci_low,psu_ci_high,household_ci_width,psu_ci_width,psu_to_household_width_ratio
ELSA,population_contribution_post_difficulty_mortality,-0.712491434921777,-1.13413206333255,-0.380744995824421,0.193895091791541,-0.722451353316304,0.143585176406186,-1.0367552890008,-0.463661187826536,0.753387067508129,0.573094101174263,0.760690123165778
ELSA,population_contribution_pre_difficulty_mortality,-0.74248112829581,-1.2760115912274,-0.236936758241381,0.263254264768924,-0.805220685262647,0.213883668668579,-1.24799888935862,-0.397853352789356,1.03907483298602,0.850145536569262,0.818175466848884
ELSA,conditional_contribution_onset,-2.5681068921519,-3.36594335718438,-1.85022045112326,0.370632069237616,-2.56588938652724,0.300327062616378,-3.17507225698493,-2.00545645291084,1.51572290606112,1.16961580407409,0.77165542553787
ELSA,conditional_contribution_recovery,-0.766678816243566,-1.21046208329903,-0.420723111332964,0.203493955239137,-0.846395716612059,0.178301019586069,-1.18386392283768,-0.503635286515218,0.789738971966066,0.680228636322463,0.861333504447709
ELSA,conditional_contribution_relapse,-0.523739095099275,-0.890445229292286,-0.225546444922001,0.15921680757147,-0.527647916832146,0.129763803632266,-0.798184947270573,-0.27633735297431,0.664898784370285,0.521847594296264,0.784852682187556
ELSA,conditional_contribution_post_difficulty_mortality,-0.51365900492515,-0.836209099857405,-0.267158696717989,0.144886202811883,-0.525223941629459,0.10958241999553,-0.767327511533437,-0.329733929479453,0.569050403139416,0.437593582053984,0.768989143386609
ELSA,conditional_contribution_pre_difficulty_mortality,-0.980612048732418,-1.66301241766183,-0.309177956748022,0.348398716649935,-1.05932257807033,0.28061358489694,-1.64141034603607,-0.535142347731972,1.35383446091381,1.1062679983041,0.817136828942436
ELSA,hazard_ratio_onset,1.78901979456434,1.53775347524636,2.11718329613547,0.141185286570054,1.81392984311483,0.120640315580137,1.5917433696563,2.07544441104409,0.57942982088911,0.483701041387799,0.834787965599666
ELSA,hazard_ratio_recovery,0.685538014388994,0.565368889246856,0.810880821272821,0.062427987960716,0.666338289772167,0.0534437564735656,0.573018923715156,0.776354277234731,0.245511932025965,0.203335353519576,0.828209659064845
ELSA,hazard_ratio_relapse,1.50605549568383,1.20623700533626,1.94104560368365,0.183738868509629,1.49759700519579,0.141947230223928,1.24934720097982,1.80600124287257,0.73480859834739,0.556654041892747,0.757549711781654
