cohort,metric,half_replicates,full_replicates,half_ci_low,half_ci_high,full_ci_low,full_ci_high,max_endpoint_drift_years,relative_halfwidth_change,requires_1000
ELSA,population_contribution_post_difficulty_mortality,500,1000,-0.92938037281389,-0.0191755497925771,-0.938112678685224,-0.0197454430726442,0.00873230587133411,0.00888796145457252,FALSE
ELSA,population_contribution_pre_difficulty_mortality,500,1000,-2.65851838516005,-1.11167899560744,-2.64784504773153,-1.0989706284541,0.012708367153337,0.00131387651541992,FALSE
ELSA,population_contribution_recovery,500,1000,-1.16176311441896,-0.0910056463165465,-1.18845007244959,-0.126225604522969,0.0352199582064221,0.00803314217798105,FALSE
ELSA,population_contribution_relapse,500,1000,-0.946369959307206,-0.152250548783294,-0.973171415362557,-0.155582581013259,0.0268014560553509,0.0287056559964704,FALSE
ELSA,population_fdfle_gap,500,1000,-7.95130656215733,-5.44884543260269,-8.02161128445497,-5.48160373271548,0.070304722297637,0.0147820120295069,FALSE
ELSA,population_recovery_relapse,500,1000,-2.01116267076186,-0.477144301177395,-2.01097881846431,-0.487937514087027,0.0107932129096319,0.00720733257570348,FALSE
HRS,conditional_fdfle_gap,250,500,-5.15620364349456,-3.13481415288418,-5.10368109934367,-3.2049558353818,0.0701416824976211,0.0646034626371197,FALSE
HRS,population_contribution_initial_state,250,500,-1.2753537836027,-0.808023718672155,-1.32067200264199,-0.783972142748191,0.0453182190392942,0.129252493147631,FALSE
HRS,population_contribution_onset,250,500,-2.5314612479664,-1.43233695437494,-2.51474101986012,-1.43241166434967,0.0167202281062844,0.0155174004987522,FALSE
HRS,population_contribution_post_difficulty_mortality,250,500,-0.251969415403344,0.243594277699782,-0.233646066968242,0.241739582460355,0.0183233484351018,0.0424456306133395,FALSE
HRS,population_contribution_pre_difficulty_mortality,250,500,-1.7557129991377,-0.688575642835564,-1.73629157638868,-0.65489677146085,0.0336788713747146,0.013184313962596,FALSE
HRS,population_contribution_recovery,250,500,-0.923117437274433,0.165754978655619,-0.835370368081927,0.179359933359625,0.0877470691925055,0.0730658327470569,FALSE
HRS,population_contribution_relapse,250,500,-0.693205328152258,0.0362772361261839,-0.697863131814659,0.0549038425726239,0.01862660644644,0.0309317636148862,FALSE
HRS,population_fdfle_gap,250,500,-5.99724379087975,-3.88869675260704,-5.91162178285392,-3.9258173780812,0.0856220080258208,0.061810031846529,FALSE
HRS,population_recovery_relapse,250,500,-1.35683802227915,0.0173646123775129,-1.31563611032365,0.0171064498735275,0.0412019119555063,0.0311088395446439,FALSE
MHAS,conditional_fdfle_gap,500,1000,-3.52265597266882,-0.571631080534346,-3.50190333270704,-0.626959841229052,0.0553287606947063,0.0264636160265441,FALSE
MHAS,population_contribution_initial_state,500,1000,-0.175858867578358,0.0132802982100093,-0.176956744527968,0.0108049683836371,0.00247532982637221,0.00733617549287135,FALSE
MHAS,population_contribution_onset,500,1000,-1.68305535201117,0.0548864255475522,-1.65747338215851,0.0412319280884041,0.0255819698526563,0.0230978658129356,FALSE
MHAS,population_contribution_post_difficulty_mortality,500,1000,-0.451399094188808,0.452779887925747,-0.421133846303967,0.477537112133226,0.030265247884841,0.00612907719521718,FALSE
MHAS,population_contribution_pre_difficulty_mortality,500,1000,-1.83264382049252,-0.0233915037996565,-1.83587098821714,-0.0645544537652175,0.0411629499655609,0.0214167154786277,FALSE
MHAS,population_contribution_recovery,500,1000,-0.443192638227308,0.46880995566784,-0.456039204819576,0.45194288446268,0.01686707120516,0.00442795585986745,FALSE
MHAS,population_contribution_relapse,500,1000,-0.862174794649487,0.295537993076136,-0.839353730922081,0.295264969700432,0.022821063727406,0.0203540511807531,FALSE
MHAS,population_fdfle_gap,500,1000,-3.52837692591096,-0.560820518945089,-3.52441237548682,-0.604873029053401,0.0440525101083119,0.0164467934268858,FALSE
MHAS,population_recovery_relapse,500,1000,-0.99040470707214,0.478948160401012,-0.985059437671188,0.515907025078513,0.0369588646775008,0.0210621596558753,FALSE
