cohort,exposure,process,term,estimate,std_error_model,statistic,p_value_model,hazard_ratio,hr_ci_low_model,hr_ci_high_model
HRS,education,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",0.254962764416667,0.135435064744033,1.88254618476047,0.0597618952970957,1.29041357067626,0.989564865293555,1.68272666278576
HRS,education,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",0.796442807151264,0.139192269035153,5.72188967585636,1.05345709958929e-08,2.2176383141118,1.68813768508757,2.91322191054667
HRS,education,relapse,sex_factormale,-0.142216231040269,0.0298963985148033,-4.75696866864583,1.96521656553672e-06,0.867433670120793,0.818065254667243,0.919781359453155
HRS,education,relapse,period_factor4,-0.0808304140468298,0.157821744087641,-0.512162722026082,0.608537130351519,0.922350095802395,0.676947855143112,1.25671378196012
HRS,education,relapse,period_factor5,-0.172051239224869,0.14950931162066,-1.15077273354989,0.249825744949403,0.841936031913583,0.628078895893345,1.12861025337613
HRS,education,relapse,period_factor6,-0.192503151455995,0.14555456796583,-1.32254970865075,0.185985168205591,0.824891718589556,0.620152350405063,1.09722449161595
HRS,education,relapse,period_factor7,-0.134741496200753,0.14348549118225,-0.939060075625406,0.347699900897661,0.873941799765874,0.659698043224081,1.15776343013736
HRS,education,relapse,period_factor8,-0.185677640889867,0.143324049979472,-1.29550930856657,0.195144592300969,0.830541284382919,0.627135421228463,1.09992005189759
HRS,education,relapse,period_factor9,-0.190189476168266,0.141954882806351,-1.33978819473025,0.180314214735852,0.826802459738833,0.625989897326263,1.09203408928802
HRS,education,relapse,period_factor10,-0.456704425709737,0.143781473483321,-3.17637881046417,0.00149126082662623,0.633367519553743,0.477822423849022,0.839547067703993
HRS,education,relapse,period_factor11,-0.338873047228907,0.142122513188194,-2.38437274733654,0.0171082637372455,0.712572906452244,0.539327021527481,0.941469881430604
HRS,education,relapse,period_factor12,-0.411076169332117,0.14262729917206,-2.88217032586594,0.00394946180553968,0.662936434252144,0.50126234325879,0.8767558979232
HRS,education,relapse,period_factor13,-0.459778784869897,0.14211238910549,-3.23531810114461,0.00121507278244395,0.631423310448128,0.477916586228524,0.834236367738513
HRS,education,relapse,period_factor14,-0.497538128972596,0.141638097128641,-3.51274225691351,0.000443507481230849,0.608025699513502,0.460635233678262,0.80257701591082
HRS,education,relapse,period_factor15,-0.291892152537351,0.141084388736604,-2.06891885878525,0.0385537015712631,0.746849077408165,0.566421060356496,0.984750715438383
HRS,education,relapse,proxy_factorself,-0.0345114161490128,0.0692063568400349,-0.498674077423022,0.618009009455198,0.966077310741,0.843533320123266,1.10642383420275
HRS,education,death_pre,(Intercept),-5.21435216617073,0.108629271902114,-48.0013542838565,0,0.00543795522696126,0.00439509760852309,0.00672825945733029
HRS,education,death_pre,sesmiddle,0.391412589588307,0.0422249604602163,9.26969700675244,1.866754544689e-20,1.47906863585895,1.36158800197312,1.6066857422447
HRS,education,death_pre,seslow,0.509087221714297,0.0494964767910555,10.2853224051352,8.20669558997331e-25,1.66377184682324,1.50994636028201,1.83326827435422
HRS,education,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.77348510619319,0.0775439262706467,22.8707158830635,9.09292723110515e-116,5.89134960383686,5.06067063309858,6.85837958463965
HRS,education,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",2.61803023663836,0.0934308901219767,28.0210349405903,9.00702764774374e-173,13.7086940896088,11.4147421610921,16.4636477101552
HRS,education,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",4.05133846112899,0.161729659504801,25.0500648646251,1.7430089326184e-138,57.4743327466968,41.860737223117,78.9116280267951
HRS,education,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",2.68413233479668,0.120652245513836,22.2468493923627,1.20999839000556e-109,14.6454884850478,11.561191554598,18.5526147501953
HRS,education,death_pre,sex_factormale,0.594104614352564,0.0314415647782392,18.8955167639667,1.24165847124959e-79,1.81140830962428,1.7031494374946,1.92654854115601
HRS,education,death_pre,period_factor3,-0.0525058230291568,0.0781285077535901,-0.672044360488174,0.501555455995275,0.948848795865511,0.814127982869404,1.10586302935106
