age,origin_state,destination,annual_probability,cohort,exposure,ses
66,D1,R1,0.182870193183435,CHARLS,education,high
66,R1,R1,0.875641524846439,CHARLS,education,high
66,D2,R1,0.170212973007133,CHARLS,education,high
66,DEAD,R1,0,CHARLS,education,high
66,I0,D2,0,CHARLS,education,high
66,D1,D2,0,CHARLS,education,high
66,R1,D2,0.110907679464311,CHARLS,education,high
66,D2,D2,0.814440945373735,CHARLS,education,high
66,DEAD,D2,0,CHARLS,education,high
66,I0,DEAD,0.00752207441212083,CHARLS,education,high
66,D1,DEAD,0.0242943358530848,CHARLS,education,high
66,R1,DEAD,0.0134507956892498,CHARLS,education,high
66,D2,DEAD,0.0153460816191326,CHARLS,education,high
66,DEAD,DEAD,1,CHARLS,education,high
67,I0,I0,0.963685455763992,CHARLS,education,high
67,D1,I0,0,CHARLS,education,high
67,R1,I0,0,CHARLS,education,high
67,D2,I0,0,CHARLS,education,high
67,DEAD,I0,0,CHARLS,education,high
67,I0,D1,0.0278902659952355,CHARLS,education,high
67,D1,D1,0.794924356560436,CHARLS,education,high
67,R1,D1,0,CHARLS,education,high
67,D2,D1,0,CHARLS,education,high
67,DEAD,D1,0,CHARLS,education,high
67,I0,R1,0,CHARLS,education,high
67,D1,R1,0.178835229441465,CHARLS,education,high
67,R1,R1,0.87356592757772,CHARLS,education,high
67,D2,R1,0.166491987025374,CHARLS,education,high
67,DEAD,R1,0,CHARLS,education,high
67,I0,D2,0,CHARLS,education,high
67,D1,D2,0,CHARLS,education,high
67,R1,D2,0.111941002205587,CHARLS,education,high
67,D2,D2,0.816929190470314,CHARLS,education,high
67,DEAD,D2,0,CHARLS,education,high
67,I0,DEAD,0.00842427824077295,CHARLS,education,high
67,D1,DEAD,0.0262404139981,CHARLS,education,high
67,R1,DEAD,0.0144930702166934,CHARLS,education,high
67,D2,DEAD,0.0165788225043118,CHARLS,education,high
67,DEAD,DEAD,1,CHARLS,education,high
68,I0,I0,0.961574612909209,CHARLS,education,high
68,D1,I0,0,CHARLS,education,high
68,R1,I0,0,CHARLS,education,high
68,D2,I0,0,CHARLS,education,high
68,DEAD,I0,0,CHARLS,education,high
