"source_role","source_path","variable","storage_class","variable_label","value_labels"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da010_s6","haven_labelled/vctrs_vctr/double","Delayed Medical Service 1: Others, Please Specify","0 No=0 | 6 Yes=6"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da013_1","numeric","Year",""
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da013_2","numeric","Month",""
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da014_1","numeric","Year",""
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da014_2","numeric","Month",""
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da019","haven_labelled/vctrs_vctr/double","RIW: Traffic Accident/Injury and Received Medical Treatment Since ZIWTime","1 Yes=1 | 2 No=2"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da020","haven_labelled/vctrs_vctr/double","NIW: Traffic Accident/Injury and Received Medical Treatment","1 Yes=1 | 2 No=2"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da024","numeric","Times Fallen Down Needing Medical Treatment",""
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da030","numeric","During Last Month Average Hours of Actual Sleep",""
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da031","numeric","During Last Month Time for a Nap after Lunch",""
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da038_s1","haven_labelled/vctrs_vctr/double","Activities in Last Month","0 No=0 | 1 Interacted With Friends=1 | 2 Played Ma-jong, Played Chess, Played Cards, or Went to Community Club=2 | 3 Provided Help to Family, Friends, or Neighbors Who Do Not Live With You=3 | 4 Went to a Sport, Social, or Other Kind of Club=4 | 5 Took Part in a Community-Related Organization=5 | 6 Done Voluntary or Charity work, or Cared for a Sick or Disabled Adult Who Does Not Live With You=6 | 7 Attended an Educational or Training Course=7 | 8 Others, Please Specify=8 | 9 None of These=9"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da038_s2","haven_labelled/vctrs_vctr/double","Activities in Last Month","0 No=0 | 1 Interacted With Friends=1 | 2 Played Ma-jong, Played Chess, Played Cards, or Went to Community Club=2 | 3 Provided Help to Family, Friends, or Neighbors Who Do Not Live With You=3 | 4 Went to a Sport, Social, or Other Kind of Club=4 | 5 Took Part in a Community-Related Organization=5 | 6 Done Voluntary or Charity work, or Cared for a Sick or Disabled Adult Who Does Not Live With You=6 | 7 Attended an Educational or Training Course=7 | 8 Others, Please Specify=8 | 9 None of These=9"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da038_s3","haven_labelled/vctrs_vctr/double","Activities in Last Month","0 No=0 | 1 Interacted With Friends=1 | 2 Played Ma-jong, Played Chess, Played Cards, or Went to Community Club=2 | 3 Provided Help to Family, Friends, or Neighbors Who Do Not Live With You=3 | 4 Went to a Sport, Social, or Other Kind of Club=4 | 5 Took Part in a Community-Related Organization=5 | 6 Done Voluntary or Charity work, or Cared for a Sick or Disabled Adult Who Does Not Live With You=6 | 7 Attended an Educational or Training Course=7 | 8 Others, Please Specify=8 | 9 None of These=9"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da038_s4","haven_labelled/vctrs_vctr/double","Activities in Last Month","0 No=0 | 1 Interacted With Friends=1 | 2 Played Ma-jong, Played Chess, Played Cards, or Went to Community Club=2 | 3 Provided Help to Family, Friends, or Neighbors Who Do Not Live With You=3 | 4 Went to a Sport, Social, or Other Kind of Club=4 | 5 Took Part in a Community-Related Organization=5 | 6 Done Voluntary or Charity work, or Cared for a Sick or Disabled Adult Who Does Not Live With You=6 | 7 Attended an Educational or Training Course=7 | 8 Others, Please Specify=8 | 9 None of These=9"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da038_s5","haven_labelled/vctrs_vctr/double","Activities in Last Month","0 No=0 | 1 Interacted With Friends=1 | 2 Played Ma-jong, Played Chess, Played Cards, or Went to Community Club=2 | 3 Provided Help to Family, Friends, or Neighbors Who Do Not Live With You=3 | 4 Went to a Sport, Social, or Other Kind of Club=4 | 5 Took Part in a Community-Related Organization=5 | 6 Done Voluntary or Charity work, or Cared for a Sick or Disabled Adult Who Does Not Live With You=6 | 7 Attended an Educational or Training Course=7 | 8 Others, Please Specify=8 | 9 None of These=9"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da038_s6","haven_labelled/vctrs_vctr/double","Activities in Last Month","0 No=0 | 1 Interacted With Friends=1 | 2 Played Ma-jong, Played Chess, Played Cards, or Went to Community Club=2 | 3 Provided Help to Family, Friends, or Neighbors Who Do Not Live With You=3 | 4 Went to a Sport, Social, or Other Kind of Club=4 | 5 Took Part in a Community-Related Organization=5 | 6 Done Voluntary or Charity work, or Cared for a Sick or Disabled Adult Who Does Not Live With You=6 | 7 Attended an Educational or Training Course=7 | 8 Others, Please Specify=8 | 9 None of These=9"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da038_s7","haven_labelled/vctrs_vctr/double","Activities in Last Month","0 No=0 | 1 Interacted With Friends=1 | 2 Played Ma-jong, Played Chess, Played Cards, or Went to Community Club=2 | 3 Provided Help to Family, Friends, or Neighbors Who Do Not Live With You=3 | 4 Went to a Sport, Social, or Other Kind of Club=4 | 5 Took Part in a Community-Related Organization=5 | 6 Done Voluntary or Charity work, or Cared for a Sick or Disabled Adult Who Does Not Live With You=6 | 7 Attended an Educational or Training Course=7 | 8 Others, Please Specify=8 | 9 None of These=9"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da038_s8","haven_labelled/vctrs_vctr/double","Activities in Last Month","0 No=0 | 1 Interacted With Friends=1 | 2 Played Ma-jong, Played Chess, Played Cards, or Went to Community Club=2 | 3 Provided Help to Family, Friends, or Neighbors Who Do Not Live With You=3 | 4 Went to a Sport, Social, or Other Kind of Club=4 | 5 Took Part in a Community-Related Organization=5 | 6 Done Voluntary or Charity work, or Cared for a Sick or Disabled Adult Who Does Not Live With You=6 | 7 Attended an Educational or Training Course=7 | 8 Others, Please Specify=8 | 9 None of These=9"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da038_s9","haven_labelled/vctrs_vctr/double","Activities in Last Month","0 No=0 | 1 Interacted With Friends=1 | 2 Played Ma-jong, Played Chess, Played Cards, or Went to Community Club=2 | 3 Provided Help to Family, Friends, or Neighbors Who Do Not Live With You=3 | 4 Went to a Sport, Social, or Other Kind of Club=4 | 5 Took Part in a Community-Related Organization=5 | 6 Done Voluntary or Charity work, or Cared for a Sick or Disabled Adult Who Does Not Live With You=6 | 7 Attended an Educational or Training Course=7 | 8 Others, Please Specify=8 | 9 None of These=9"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da042_s5","haven_labelled/vctrs_vctr/double","Activities with Internet: Money Management","0 No=0 | 5 Yes=5"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da049_2","numeric","Year",""
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da051","haven_labelled/vctrs_vctr/double","Frequency Drank Alcoholic Beverages in the Past Year","1 Drink More than Once a Month=1 | 2 Drink But Less than Once a Month=2 | 3 None of These=3"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","da052","haven_labelled/vctrs_vctr/double","Frequncy Drinking Per Month in the Last Year","1 Once a Month=1 | 2 Two or Three Times a Month=2 | 3 Once a Week=3 | 4 Two or Three Times a Week=4 | 5 Four to six times a Week=5 | 6 Once a Day=6 | 7 Twice a Day=7 | 8 More than Twice a Day=8"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","db001","haven_labelled/vctrs_vctr/double","Difficulty with Dressing","1 Don't Have Any Difficulty=1 | 2 Have Difficulty But Can Still Do It=2 | 3 Have Difficulty and Need Help=3 | 4 Can Not Do It=4"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","db002","haven_labelled/vctrs_vctr/double","Anyone Ever Helped","1 Yes=1 | 2 No=2"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","db003","haven_labelled/vctrs_vctr/double","Difficulty with Bathing or Showering","1 Don't Have Any Difficulty=1 | 2 Have Difficulty But Can Still Do It=2 | 3 Have Difficulty and Need Help=3 | 4 Can Not Do It=4"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","db004","haven_labelled/vctrs_vctr/double","Anyone Ever Helped","1 Yes=1 | 2 No=2"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","db005","haven_labelled/vctrs_vctr/double","Difficulty with Eating","1 Don't Have Any Difficulty=1 | 2 Have Difficulty But Can Still Do It=2 | 3 Have Difficulty and Need Help=3 | 4 Can Not Do It=4"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","db006","haven_labelled/vctrs_vctr/double","Anyone Ever Helped","1 Yes=1 | 2 No=2"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","db007","haven_labelled/vctrs_vctr/double","Difficulty with Getting into or out of Bed","1 Don't Have Any Difficulty=1 | 2 Have Difficulty But Can Still Do It=2 | 3 Have Difficulty and Need Help=3 | 4 Can Not Do It=4"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","db008","haven_labelled/vctrs_vctr/double","Anyone Ever Helped","1 Yes=1 | 2 No=2"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","db009","haven_labelled/vctrs_vctr/double","Difficulty with Using the Toilet","1 Don't Have Any Difficulty=1 | 2 Have Difficulty But Can Still Do It=2 | 3 Have Difficulty and Need Help=3 | 4 Can Not Do It=4"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","db010","haven_labelled/vctrs_vctr/double","Anyone Ever Helped","1 Yes=1 | 2 No=2"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","db011","haven_labelled/vctrs_vctr/double","Difficulty with Controlling Urination and Defecation","1 Don't Have Any Difficulty=1 | 2 Have Difficulty But Can Still Do It=2 | 3 Have Difficulty and Need Help=3 | 4 Can Not Do It=4"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","db012","haven_labelled/vctrs_vctr/double","Difficulty with Household Chores","1 Don't Have Any Difficulty=1 | 2 Have Difficulty But Can Still Do It=2 | 3 Have Difficulty and Need Help=3 | 4 Can Not Do It=4"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","db013","haven_labelled/vctrs_vctr/double","Anyone Ever Helped","1 Yes=1 | 2 No=2"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","db014","haven_labelled/vctrs_vctr/double","Difficulty with Preparing Hot Meals","1 Don't Have Any Difficulty=1 | 2 Have Difficulty But Can Still Do It=2 | 3 Have Difficulty and Need Help=3 | 4 Can Not Do It=4"
"raw_health","restricted_source/Health_Status_and_Functioning.dta","db015","haven_labelled/vctrs_vctr/double","Anyone Ever Helped","1 Yes=1 | 2 No=2"
