module,cohort,process,term,estimate,std_error_model,statistic,p_value_model,hazard_ratio,hr_ci_low_model,hr_ci_high_model
wealth_within_low_education,CHARLS,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",0.748539892347515,0.427961494574229,1.74908233997132,0.0802767874119262,2.11391122422156,0.91368935724746,4.89074391470629
wealth_within_low_education,CHARLS,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",0.732303092976594,0.587663872635567,1.24612576521396,0.212718227083397,2.07986521883481,0.657363528698288,6.58058918645032
wealth_within_low_education,CHARLS,relapse,sex_factorfemale,0.418782018170286,0.0567864662735431,7.37468001887973,1.64740239283256e-13,1.52010896253974,1.35999434856735,1.69907416190945
wealth_within_low_education,CHARLS,relapse,period_factor3,-0.593267146292121,0.0759174722009442,-7.81463250938883,5.51236168234176e-15,0.552519171694825,0.476129505295754,0.64116470770008
wealth_within_low_education,CHARLS,relapse,period_factor4,-0.353770528534416,0.0704343429190416,-5.0226993519489,5.09502682104806e-07,0.702036046113592,0.611511302580747,0.805961570886462
wealth_within_low_education,CHARLS,death_pre,(Intercept),-24.5313346506974,1367.55939272573,-0.0179380396794343,0.98568828261417,2.21909925428789e-11,0,Inf
wealth_within_low_education,CHARLS,death_pre,sesmiddle,0.0278812856934751,0.175815804215725,0.158582363046641,0.873997925189653,1.02827360638726,0.728536398792717,1.45132983244878
wealth_within_low_education,CHARLS,death_pre,seslow,-0.0184314957959102,0.180457075814799,-0.102137839221257,0.918647266697158,0.981737325422386,0.689266448930627,1.39831001149529
wealth_within_low_education,CHARLS,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.76987080409396,0.391774843625997,4.51757133692724,6.25529570248936e-06,5.87009492015813,2.72370234380837,12.651167426572
wealth_within_low_education,CHARLS,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",0.992329497466807,0.815554589143629,1.21675423163126,0.223697738465865,2.69751100397912,0.545442712664137,13.3406597020008
wealth_within_low_education,CHARLS,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",2.74929898366548,1.03474910944903,2.6569715871796,0.00788460879131627,15.631669986406,2.05688094114784,118.795940822685
wealth_within_low_education,CHARLS,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",1.904726342757,1.26464453575663,1.50613574716268,0.132032329614353,6.71756906464848,0.56328084010192,80.1123186262775
wealth_within_low_education,CHARLS,death_pre,sex_factorfemale,-0.611036516382062,0.160536803085834,-3.80620832504905,0.000141113533491335,0.542787968775584,0.396258441546455,0.743501584212901
wealth_within_low_education,CHARLS,death_pre,period_factor2,-0.00719525233920138,1924.31462258705,-3.73912470172267e-06,0.99999701661013,0.992830571515408,0,Inf
wealth_within_low_education,CHARLS,death_pre,period_factor3,19.5912846826042,1367.55937839261,0.0143257287340833,0.988570113174781,322393911.213485,0,Inf
wealth_within_low_education,CHARLS,death_pre,period_factor4,19.6253514145206,1367.55937890462,0.014350639334023,0.988550239434651,333566036.602534,0,Inf
wealth_within_low_education,CHARLS,death_post,(Intercept),-23.6220978855336,1149.14473805175,-0.0205562424848085,0.983599646521166,5.50875220475021e-11,0,Inf
wealth_within_low_education,CHARLS,death_post,sesmiddle,-0.0460627649908943,0.129209606678405,-0.356496441518795,0.721468816539529,0.954982020871782,0.74132689725295,1.23021390909707
wealth_within_low_education,CHARLS,death_post,seslow,0.216465249884479,0.11417397330636,1.89592464566022,0.0579700094727415,1.24167993608289,0.992710957076534,1.55308960043236
wealth_within_low_education,CHARLS,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",1.8371832222802,0.214063161935026,8.58243522927047,9.28854351800433e-18,6.27882726801664,4.12728342781325,9.55196621485165
wealth_within_low_education,CHARLS,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",1.88913312121427,0.299302654453867,6.31178204771136,2.75840522786077e-10,6.61363297719776,3.67848108554929,11.8908158394258
wealth_within_low_education,CHARLS,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",2.82120277816106,0.498528969659554,5.65905483905511,1.52208917094186e-08,16.7970416419343,6.32231853462872,44.6261298565596
wealth_within_low_education,CHARLS,death_post,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",2.17676430842478,0.461730804400083,4.71435799318827,2.42474036500587e-06,8.81772859926701,3.56716774363101,21.7966586486307
wealth_within_low_education,CHARLS,death_post,origin_factorR1,-0.994700632277416,0.117643218124255,-8.45523140336752,2.78534415252415e-17,0.36983414437879,0.293675066215271,0.465743640109135
wealth_within_low_education,CHARLS,death_post,origin_factorD2,-0.512278592098307,0.139459221846612,-3.67332174462977,0.000239417712911089,0.599128852029075,0.455837602887274,0.787463296270547
wealth_within_low_education,CHARLS,death_post,sex_factorfemale,-0.754315734009613,0.088464797961031,-8.5267332475217,1.5053846677335e-17,0.470332337068593,0.395459563679819,0.559380851063468
wealth_within_low_education,CHARLS,death_post,period_factor2,0.19492296944569,1453.57592407007,0.000134098925427918,0.999893004538101,1.21521737401634,0,Inf
wealth_within_low_education,CHARLS,death_post,period_factor3,19.2452771190745,1149.14472609152,0.016747478957269,0.986638069731905,228095992.733307,0,Inf
wealth_within_low_education,CHARLS,death_post,period_factor4,19.9740512196711,1149.14472508692,0.0173816672379193,0.986132134372073,472737686.993415,0,Inf
wealth_within_low_education,HRS,onset,(Intercept),-2.93532004307111,0.144859648862202,-20.2632000431214,2.71715902440017e-91,0.0531137179085563,0.0399852375258903,0.0705527140671121
wealth_within_low_education,HRS,onset,sesmiddle,0.147490792684687,0.068630746220228,2.14904836108595,0.0316305665475322,1.15892261421469,1.01305906451109,1.32578807375502
wealth_within_low_education,HRS,onset,seslow,0.378981761266868,0.065694867671591,5.7688183978298,7.98292717445244e-09,1.4607963924249,1.28430770298952,1.66153803730555
