cohort,exposure,sex,level,process,intervals,persons,events,person_years
CHARLS,education,female,low,death_post,9433,4066,637,21714.1359514033
CHARLS,education,male,high,death_post,88,44,12,202.166666666667
CHARLS,education,female,high,death_post,36,15,3,80.8750000000005
ELSA,education,female,high,death_post,322,125,22,630.5
ELSA,education,male,low,death_post,2222,934,311,4344.125
ELSA,education,female,low,death_post,3673,1462,393,7213.91666666666
ELSA,education,male,high,death_post,525,211,48,1026.375
HRS,education,male,high,death_post,3476,1060,463,6527.64630390143
HRS,education,female,high,death_post,4480,1190,414,8562.81570841889
HRS,education,female,low,death_post,13512,3611,1934,25114.3790212183
HRS,education,male,low,death_post,6844,2222,1225,12409.7552190281
MHAS,education,female,low,death_post,6187,3436,729,17054.2083333332
MHAS,education,male,low,death_post,2780,1693,471,7406.24999999996
MHAS,education,male,high,death_post,163,103,19,449.874999999998
MHAS,education,female,high,death_post,210,130,15,598.45833333333
CHARLS,wealth,male,low,death_post,2354,952,157,5453.91940451749
CHARLS,wealth,male,high,death_post,1224,539,71,2858.79440451747
CHARLS,wealth,female,low,death_post,3566,1394,131,8264.08607118417
CHARLS,wealth,female,high,death_post,1588,711,35,3708.08333333336
ELSA,wealth,male,high,death_post,1373,534,138,2692.375
ELSA,wealth,female,high,death_post,1670,633,114,3283.625
ELSA,wealth,male,low,death_post,1704,788,255,3312.79166666667
ELSA,wealth,female,low,death_post,2869,1169,305,5623.83333333333
HRS,wealth,female,high,death_post,8578,2233,972,16243.2263004791
HRS,wealth,male,high,death_post,5708,1768,860,10592.0876112252
HRS,wealth,male,low,death_post,8991,2799,1321,16659.7749828884
HRS,wealth,female,low,death_post,18530,4999,2262,34833.7193702943
MHAS,wealth,female,low,death_post,2120,1206,257,5837.4583333333
MHAS,wealth,male,low,death_post,884,550,155,2347.16666666665
MHAS,wealth,female,high,death_post,2111,1164,229,5841.49999999997
MHAS,wealth,male,high,death_post,1043,628,161,2820.29166666665
