cohort,phase,replicate,seed,exposure,status,error_message,unique_sampled_people,elapsed_seconds_replicate_exposure
ELSA,final,168,351168,wealth,valid,"",8996,7.31999999999994
ELSA,final,169,351169,education,valid,"",9015,3.58999999999992
ELSA,final,169,351169,wealth,valid,"",9015,7.23000000000002
ELSA,final,170,351170,education,valid,"",8998,3.6400000000001
ELSA,final,170,351170,wealth,valid,"",8998,7.44000000000006
ELSA,final,171,351171,education,valid,"",9011,3.58000000000015
ELSA,final,171,351171,wealth,valid,"",9011,7.24000000000001
ELSA,final,172,351172,education,valid,"",8977,3.72000000000003
ELSA,final,172,351172,wealth,valid,"",8977,7.43999999999983
ELSA,final,173,351173,education,valid,"",8944,3.54999999999995
ELSA,final,173,351173,wealth,valid,"",8944,7.22000000000003
ELSA,final,174,351174,education,valid,"",8975,3.59000000000015
ELSA,final,174,351174,wealth,valid,"",8975,7.23000000000002
ELSA,final,175,351175,education,valid,"",9013,3.6099999999999
ELSA,final,175,351175,wealth,valid,"",9013,7.25
ELSA,final,176,351176,education,valid,"",8970,3.75
ELSA,final,176,351176,wealth,valid,"",8970,7.43000000000006
ELSA,final,177,351177,education,valid,"",8964,3.67000000000007
ELSA,final,177,351177,wealth,valid,"",8964,7.42000000000007
ELSA,final,178,351178,education,valid,"",9010,3.72999999999979
ELSA,final,178,351178,wealth,valid,"",9010,7.39999999999986
ELSA,final,179,351179,education,valid,"",8935,3.59999999999991
ELSA,final,179,351179,wealth,valid,"",8935,7.32999999999993
ELSA,final,180,351180,education,valid,"",9020,4.31000000000017
ELSA,final,180,351180,wealth,valid,"",9020,7.96000000000004
ELSA,final,181,351181,education,valid,"",9032,3.6400000000001
ELSA,final,181,351181,wealth,valid,"",9032,7.36999999999989
ELSA,final,182,351182,education,valid,"",9088,3.6099999999999
ELSA,final,182,351182,wealth,valid,"",9088,7.22000000000003
ELSA,final,183,351183,education,valid,"",8980,3.61000000000013
ELSA,final,183,351183,wealth,valid,"",8980,7.33000000000016
ELSA,final,184,351184,education,valid,"",9027,3.61999999999989
ELSA,final,184,351184,wealth,valid,"",9027,7.30999999999995
ELSA,final,185,351185,education,valid,"",8930,3.51999999999998
ELSA,final,185,351185,wealth,valid,"",8930,7.12999999999988
ELSA,final,186,351186,education,valid,"",8923,3.58999999999992
ELSA,final,186,351186,wealth,valid,"",8923,7.45000000000005
ELSA,final,187,351187,education,valid,"",8985,3.59000000000015
ELSA,final,187,351187,wealth,valid,"",8985,7.21000000000004
ELSA,final,188,351188,education,valid,"",8951,3.90999999999985
ELSA,final,188,351188,wealth,valid,"",8951,7.59999999999991
ELSA,final,189,351189,education,valid,"",8988,3.6099999999999
ELSA,final,189,351189,wealth,valid,"",8988,7.30999999999995
ELSA,final,190,351190,education,valid,"",8934,3.65000000000009
ELSA,final,190,351190,wealth,valid,"",8934,7.27999999999997
ELSA,final,191,351191,education,valid,"",9010,3.57999999999993
ELSA,final,191,351191,wealth,valid,"",9010,7.54999999999996
ELSA,final,192,351192,education,valid,"",9060,4.17999999999984
ELSA,final,192,351192,wealth,valid,"",9060,8.39999999999986
ELSA,final,193,351193,education,valid,"",8934,4.07999999999993
ELSA,final,193,351193,wealth,valid,"",8934,8.22000000000003
ELSA,final,194,351194,education,valid,"",8971,4.22000000000003
ELSA,final,194,351194,wealth,valid,"",8971,8.09999999999991
ELSA,final,195,351195,education,valid,"",9031,3.75
