cohort,phase,replicate,seed,exposure,high_tle,low_tle,gap_tle,high_dfle,low_dfle,gap_dfle,high_disabled,low_disabled,gap_disabled,high_residual_age100,low_residual_age100,contribution_onset,contribution_recovery,contribution_relapse,contribution_post_disability_mortality,contribution_pre_disability_mortality,recovery_relapse_contribution,recovery_relapse_percent,closure_error
HRS,final,12,251012,education,27.3530362659873,23.0855826338088,-4.26745363217849,22.2675298140073,16.9162603507935,-5.35126946321386,5.08550645197998,6.16932228301536,1.08381583103538,0.113083876523783,0.0368249140079427,-2.41297683554958,-0.851906005155273,-0.507194961010012,-0.25481948302982,-1.32437217846918,-1.35910096616528,25.3977299313393,-1.77635683940025e-15
HRS,final,12,251012,wealth,26.818115098407,22.0759951044588,-4.74211999394818,21.9664620856732,16.0341015036042,-5.93236058206901,4.85165301273383,6.04189360085466,1.19024058812083,0.0945788424082292,0.0253195396008028,-2.75001088536931,-0.903410888538604,-0.502486875099063,-0.277527820079074,-1.49892411298296,-1.40589776363767,23.6987914707527,-1.77635683940025e-15
HRS,final,13,251013,education,27.3241734901999,23.244857240024,-4.07931625017588,22.0994859608185,16.4671587195949,-5.63232724122354,5.22468752938141,6.77769852042907,1.55301099104766,0.114365331232838,0.0424936175385624,-2.75700464886121,-1.00966424097339,-0.498262540063852,-0.17466619522623,-1.19272961609886,-1.50792678103724,26.7727125299216,-2.66453525910038e-15
HRS,final,13,251013,wealth,27.1526408743147,21.9654336028235,-5.18720727149125,22.0498044854079,15.8596126804571,-6.19019180495078,5.10283638890679,6.10582092236633,1.00298453345953,0.107529232926392,0.0272477990429404,-2.87887880721645,-0.858565877760091,-0.437669010795099,-0.305204987684304,-1.70987312149483,-1.29623488855519,20.9401409422966,4.44089209850063e-15
HRS,final,14,251014,education,27.7135543928856,23.1273014043789,-4.58625298850668,22.4501806756441,16.6418665595685,-5.80831411607558,5.2633737172415,6.48543484481041,1.22206112756891,0.112842840530158,0.0360459073144625,-2.77275020343142,-0.848222454132022,-0.451940644721572,-0.188375614864014,-1.54702519892656,-1.30016309885359,22.3845176564255,0
HRS,final,14,251014,wealth,26.9773919749386,22.0567884357968,-4.92060353914178,21.863109682318,15.9670533293739,-5.89605635294405,5.11428229262059,6.08973510642285,0.97545281380226,0.0929097775375016,0.0238617401842167,-2.89867140882773,-0.85818152745145,-0.312006484668265,-0.274455024178422,-1.55274190781817,-1.17018801211971,19.8469611223341,8.88178419700125e-16
HRS,final,15,251015,education,26.9263555694105,22.9827409209152,-3.94361464849533,21.5541755613011,16.4882651457792,-5.06591041552195,5.37218000810937,6.49447577513599,1.12229576702662,0.0983808604115545,0.036181712086527,-2.43634315202809,-0.719227619604215,-0.416882258892904,-0.125821159933215,-1.36763622506352,-1.13610987849712,22.4265686778842,3.5527136788005e-15
HRS,final,15,251015,wealth,26.6529197255298,22.4633624294789,-4.1895572960509,21.2785748842239,16.1265931853546,-5.15198169886931,5.3743448413059,6.33676924412431,0.962424402818408,0.0928939903083362,0.0309785665072251,-2.42603947137749,-0.876790551966599,-0.274152573917586,-0.198705943658694,-1.37629315794894,-1.15094312588418,22.3398139425996,8.88178419700125e-16
HRS,final,16,251016,education,27.0340525379844,23.2531398681156,-3.7809126698688,22.2611200978997,16.6755351791516,-5.58558491874815,4.77293244008465,6.577604688964,1.80467224887935,0.102116878264076,0.0381487083639782,-2.97299529581297,-0.807987953223235,-0.591395796598922,-0.149106986469155,-1.06409888664387,-1.39938374982216,25.0534862539658,0
HRS,final,16,251016,wealth,26.6793570360512,22.1130980071051,-4.56625902894612,21.714043441049,16.0462411070027,-5.6678023340463,4.96531359500223,6.06685690010241,1.10154330510018,0.0924311243153353,0.025151171757741,-2.69248938276864,-0.920718946427466,-0.386877118586736,-0.260016406943381,-1.40770047932007,-1.3075960650142,23.0706010539485,4.44089209850063e-15
