cohort,phase,replicate,seed,exposure,high_tle,low_tle,gap_tle,high_dfle,low_dfle,gap_dfle,high_disabled,low_disabled,gap_disabled,high_residual_age100,low_residual_age100,contribution_onset,contribution_recovery,contribution_relapse,contribution_post_disability_mortality,contribution_pre_disability_mortality,recovery_relapse_contribution,recovery_relapse_percent,closure_error
MHAS,final,6,451006,education,26.0108328420544,23.7587374994599,-2.25209534259441,19.7769019583106,16.2544976246137,-3.52240433369686,6.2339308837438,7.50423987484625,1.27030899110246,0.160704447679855,0.0872313780663885,-2.34625807102045,-0.68190524458502,-0.080753113515844,-0.413743600648187,0.000255696072645624,-0.762658358100864,21.6516414883136,0
MHAS,final,6,451006,wealth,24.1536365024674,23.7081606889732,-0.445475813494188,16.5597070085353,16.1736299596594,-0.386077048875841,7.59392949393211,7.53453072931376,-0.0593987646183463,0.0862966144547309,0.0917901102228662,-0.830108199119042,0.117343061832378,0.709324861562437,-0.00134621998985427,-0.381290553161757,0.826667923394814,-214.119934298572,1.49880108324396e-15
MHAS,final,7,451007,education,25.2450530519367,23.3079010686298,-1.9371519833069,20.3045085888844,15.8220674459448,-4.48244114293962,4.94054446305229,7.48583362268501,2.54528915963272,0.091180027399041,0.0564481088272255,-3.51645143745397,-0.106748233494129,-0.373054923036154,-0.0720351706412356,-0.41415137831412,-0.479803156530283,10.7040592665903,4.44089209850063e-15
MHAS,final,7,451007,wealth,24.1098185934675,22.4088351061614,-1.70098348730616,17.4370169124431,15.0966124367017,-2.34040447574142,6.67280168102439,7.31222266945965,0.639420988435258,0.0610093071335489,0.049922017454341,-1.1171152974591,-0.127215510976476,-0.067748474476575,0.0497078826538339,-1.0780330754831,-0.194963985453051,8.33035432438608,8.88178419700125e-16
MHAS,final,8,451008,education,25.3945240842705,23.7741342908899,-1.62038979338068,20.3208592811784,15.6758109356656,-4.64504834551284,5.07366480309212,8.09832335522428,3.02465855213216,0.0771234508215135,0.093385616408841,-2.94266456714054,-0.409234888934561,-0.410798894914336,0.173820140508516,-1.05617013503192,-0.820033783848897,17.6539343156903,8.88178419700125e-16
MHAS,final,8,451008,wealth,24.0794095577274,23.3957197357876,-0.683689821939822,16.761023347144,15.091945352075,-1.66907799506898,7.31838621058344,8.3037743837126,0.985388173129158,0.0835141978543878,0.087818861373718,-0.782636597804688,-0.065482567592577,-0.35977298644917,0.0718665422630464,-0.533052385485593,-0.425255554041747,25.4784710659475,0
MHAS,final,9,451009,education,23.9304553176373,22.7113921843947,-1.21906313324257,19.9313692360322,15.9797307054504,-3.95163853058183,3.99908608160504,6.73166147894431,2.73257539733926,0.0295308176749598,0.0251832953020341,-2.09455343468274,-0.521768937190922,-0.972905782721024,0.0736716021445581,-0.436081978131698,-1.49467471991195,37.8241761827308,0
MHAS,final,9,451009,wealth,23.5044037115254,21.964485618234,-1.53991809329133,17.3318299574836,15.4348527405381,-1.89697721694545,6.17257375404179,6.52963287769591,0.357059123654119,0.0254609389435569,0.0217309177640358,-0.826654931156011,0.012470977248293,-0.103954819234526,0.0370237155933126,-1.01586215939652,-0.0914838419862326,4.82261153001835,-8.88178419700125e-16
MHAS,final,10,451010,education,27.5341912971251,23.1447448113577,-4.3894464857674,21.0548987384927,15.9050157444088,-5.14988299408383,6.47929255863245,7.23972906694888,0.760436508316428,0.124861922161946,0.0397616097968998,-2.96594007068802,-0.724457718577859,-0.147653945124795,-0.35411097996627,-0.957720279726878,-0.872111663702654,16.9345918092612,9.76996261670138e-15
MHAS,final,10,451010,wealth,24.720796776396,22.9145362996168,-1.80626047677918,17.941583182081,15.7319744046061,-2.20960877747497,6.77921359431496,7.18256189501075,0.403348300695789,0.0443279660965493,0.0393276791728082,-1.15027834982365,-0.227211979734809,0.157245804543967,0.0641530957611164,-1.0535173482216,-0.069966175190842,3.16645081718022,-8.88178419700125e-16
