cohort,phase,replicate,seed,exposure,status,error_message,unique_sampled_people,elapsed_seconds_replicate_exposure
MHAS,final,71,451071,wealth,valid,"",9591,6.94
MHAS,final,72,451072,education,valid,"",9562,3.34000000000003
MHAS,final,72,451072,wealth,valid,"",9562,6.79999999999996
MHAS,final,73,451073,education,valid,"",9624,3.28999999999996
MHAS,final,73,451073,wealth,valid,"",9624,7.22000000000003
MHAS,final,74,451074,education,valid,"",9556,4.27999999999997
MHAS,final,74,451074,wealth,valid,"",9556,8.82999999999993
MHAS,final,75,451075,education,valid,"",9611,3.96000000000004
MHAS,final,75,451075,wealth,valid,"",9611,7.82000000000005
MHAS,final,76,451076,education,valid,"",9575,3.77999999999997
MHAS,final,76,451076,wealth,valid,"",9575,7.98000000000002
MHAS,final,77,451077,education,valid,"",9592,3.75
MHAS,final,77,451077,wealth,valid,"",9592,7.09000000000003
MHAS,final,78,451078,education,valid,"",9580,3.25
MHAS,final,78,451078,wealth,valid,"",9580,6.69000000000006
MHAS,final,79,451079,education,valid,"",9659,3.28999999999996
MHAS,final,79,451079,wealth,valid,"",9659,6.73000000000002
MHAS,final,80,451080,education,valid,"",9651,3.28999999999996
MHAS,final,80,451080,wealth,valid,"",9651,6.64999999999998
MHAS,final,81,451081,education,valid,"",9580,3.26999999999998
MHAS,final,81,451081,wealth,valid,"",9580,6.72000000000003
MHAS,final,82,451082,education,valid,"",9577,3.21000000000004
MHAS,final,82,451082,wealth,valid,"",9577,6.42999999999995
MHAS,final,83,451083,education,valid,"",9577,3.18999999999994
MHAS,final,83,451083,wealth,valid,"",9577,6.52999999999997
MHAS,final,84,451084,education,valid,"",9690,3.29999999999995
MHAS,final,84,451084,wealth,valid,"",9690,6.61000000000001
MHAS,final,85,451085,education,valid,"",9569,3.19999999999993
MHAS,final,85,451085,wealth,valid,"",9569,6.48000000000002
MHAS,final,86,451086,education,valid,"",9637,3.31999999999994
MHAS,final,86,451086,wealth,valid,"",9637,6.64999999999998
MHAS,final,87,451087,education,valid,"",9624,3.21000000000004
MHAS,final,87,451087,wealth,valid,"",9624,6.59000000000003
MHAS,final,88,451088,education,valid,"",9551,3.20999999999992
MHAS,final,88,451088,wealth,valid,"",9551,6.39999999999998
MHAS,final,89,451089,education,valid,"",9592,3.22000000000003
MHAS,final,89,451089,wealth,valid,"",9592,6.51999999999998
MHAS,final,90,451090,education,valid,"",9604,3.34000000000003
MHAS,final,90,451090,wealth,valid,"",9604,6.68999999999994
MHAS,final,91,451091,education,valid,"",9611,3.2700000000001
MHAS,final,91,451091,wealth,valid,"",9611,6.83000000000004
MHAS,final,92,451092,education,valid,"",9569,3.20000000000005
MHAS,final,92,451092,wealth,valid,"",9569,6.52999999999997
MHAS,final,93,451093,education,valid,"",9588,3.31000000000006
MHAS,final,93,451093,wealth,valid,"",9588,6.48000000000002
MHAS,final,94,451094,education,valid,"",9616,3.13999999999999
MHAS,final,94,451094,wealth,valid,"",9616,6.56000000000006
MHAS,final,95,451095,education,valid,"",9584,3.18999999999994
MHAS,final,95,451095,wealth,valid,"",9584,6.43999999999994
MHAS,final,96,451096,education,valid,"",9634,3.20000000000005
MHAS,final,96,451096,wealth,valid,"",9634,6.40000000000009
MHAS,final,97,451097,education,valid,"",9536,3.16000000000008
MHAS,final,97,451097,wealth,valid,"",9536,6.49000000000001
MHAS,final,98,451098,education,valid,"",9543,3.36000000000001
MHAS,final,98,451098,wealth,valid,"",9543,6.61000000000001
MHAS,final,99,451099,education,valid,"",9548,3.30999999999995
MHAS,final,99,451099,wealth,valid,"",9548,6.53999999999996
MHAS,final,100,451100,education,valid,"",9583,3.25
MHAS,final,100,451100,wealth,valid,"",9583,6.83000000000004
MHAS,final,101,451101,education,valid,"",9611,3.45000000000005
MHAS,final,101,451101,wealth,valid,"",9611,7.11000000000001
MHAS,final,102,451102,education,valid,"",9642,3.45000000000005
MHAS,final,102,451102,wealth,valid,"",9642,7.13999999999999
MHAS,final,103,451103,education,valid,"",9554,3.47000000000003
MHAS,final,103,451103,wealth,valid,"",9554,6.75999999999999
MHAS,final,104,451104,education,valid,"",9516,3.27999999999997
MHAS,final,104,451104,wealth,valid,"",9516,6.81000000000006
MHAS,final,105,451105,education,valid,"",9621,3.43000000000006
MHAS,final,105,451105,wealth,valid,"",9621,6.72000000000003
MHAS,final,106,451106,education,valid,"",9499,3.48000000000002
MHAS,final,106,451106,wealth,valid,"",9499,6.89999999999998
MHAS,final,107,451107,education,valid,"",9633,3.37
MHAS,final,107,451107,wealth,valid,"",9633,6.76000000000011
MHAS,final,108,451108,education,valid,"",9617,3.53000000000009
MHAS,final,108,451108,wealth,valid,"",9617,6.96000000000004
MHAS,final,109,451109,education,valid,"",9563,3.37
MHAS,final,109,451109,wealth,valid,"",9563,6.71000000000004
MHAS,final,110,451110,education,valid,"",9581,3.37
MHAS,final,110,451110,wealth,valid,"",9581,6.76999999999998
MHAS,final,111,451111,education,valid,"",9567,3.28999999999996
MHAS,final,111,451111,wealth,valid,"",9567,6.64999999999998
MHAS,final,112,451112,education,valid,"",9598,3.34000000000003
MHAS,final,112,451112,wealth,valid,"",9598,6.64999999999998
MHAS,final,113,451113,education,valid,"",9653,3.29999999999995
MHAS,final,113,451113,wealth,valid,"",9653,6.68999999999994
MHAS,final,114,451114,education,valid,"",9532,3.62
MHAS,final,114,451114,wealth,valid,"",9532,7.00999999999999
MHAS,final,115,451115,education,valid,"",9549,3.25
MHAS,final,115,451115,wealth,valid,"",9549,6.70000000000005
MHAS,final,116,451116,education,valid,"",9621,3.21999999999991
MHAS,final,116,451116,wealth,valid,"",9621,6.66999999999996
MHAS,final,117,451117,education,valid,"",9577,3.33000000000004
MHAS,final,117,451117,wealth,valid,"",9577,6.84000000000003
MHAS,final,118,451118,education,valid,"",9624,3.42000000000007
MHAS,final,118,451118,wealth,valid,"",9624,6.83000000000004
MHAS,final,119,451119,education,valid,"",9593,3.36000000000001
MHAS,final,119,451119,wealth,valid,"",9593,6.58999999999992
MHAS,final,120,451120,education,valid,"",9668,3.28000000000009
MHAS,final,120,451120,wealth,valid,"",9668,6.55000000000007
MHAS,final,121,451121,education,valid,"",9539,3.17999999999995
MHAS,final,121,451121,wealth,valid,"",9539,6.59999999999991
MHAS,final,122,451122,education,valid,"",9580,3.19000000000005
MHAS,final,122,451122,wealth,valid,"",9580,6.33000000000004
MHAS,final,123,451123,education,valid,"",9510,3.26999999999998
MHAS,final,123,451123,wealth,valid,"",9510,6.5
MHAS,final,124,451124,education,valid,"",9520,3.13999999999999
MHAS,final,124,451124,wealth,valid,"",9520,6.44999999999993
MHAS,final,125,451125,education,valid,"",9676,3.21000000000004
MHAS,final,125,451125,wealth,valid,"",9676,6.42000000000007
MHAS,final,126,451126,education,valid,"",9597,3.48000000000002
MHAS,final,126,451126,wealth,valid,"",9597,6.85000000000002
MHAS,final,127,451127,education,valid,"",9632,3.40999999999997
MHAS,final,127,451127,wealth,valid,"",9632,6.93999999999994
MHAS,final,128,451128,education,valid,"",9608,3.34000000000003
MHAS,final,128,451128,wealth,valid,"",9608,6.84000000000003
MHAS,final,129,451129,education,valid,"",9587,3.41999999999996
MHAS,final,129,451129,wealth,valid,"",9587,6.81999999999994
MHAS,final,130,451130,education,valid,"",9548,3.38999999999999
MHAS,final,130,451130,wealth,valid,"",9548,6.63999999999999
MHAS,final,131,451131,education,valid,"",9642,3.37
MHAS,final,131,451131,wealth,valid,"",9642,6.67000000000007
MHAS,final,132,451132,education,valid,"",9665,3.29999999999995
MHAS,final,132,451132,wealth,valid,"",9665,6.66999999999996
MHAS,final,133,451133,education,valid,"",9623,3.38
MHAS,final,133,451133,wealth,valid,"",9623,6.88999999999999
MHAS,final,134,451134,education,valid,"",9548,3.20000000000005
MHAS,final,134,451134,wealth,valid,"",9548,6.48000000000002
MHAS,final,135,451135,education,valid,"",9632,3.16999999999996
MHAS,final,135,451135,wealth,valid,"",9632,6.47000000000003
MHAS,final,136,451136,education,valid,"",9620,3.20999999999992
MHAS,final,136,451136,wealth,valid,"",9620,6.54999999999996
MHAS,final,137,451137,education,valid,"",9529,3.53999999999996
MHAS,final,137,451137,wealth,valid,"",9529,6.87000000000001
MHAS,final,138,451138,education,valid,"",9608,3.27999999999997
MHAS,final,138,451138,wealth,valid,"",9608,6.57999999999993
MHAS,final,139,451139,education,valid,"",9602,3.19000000000005
MHAS,final,139,451139,wealth,valid,"",9602,6.56000000000006
MHAS,final,140,451140,education,valid,"",9562,3.52999999999997
MHAS,final,140,451140,wealth,valid,"",9562,6.88999999999999
MHAS,final,141,451141,education,valid,"",9657,3.25
MHAS,final,141,451141,wealth,valid,"",9657,6.63999999999999
MHAS,final,142,451142,education,valid,"",9594,3.47000000000003
MHAS,final,142,451142,wealth,valid,"",9594,6.95000000000005
MHAS,final,143,451143,education,valid,"",9612,3.5
MHAS,final,143,451143,wealth,valid,"",9612,7.18000000000006
MHAS,final,144,451144,education,valid,"",9491,3.48000000000002
