cohort,metric,half_replicates,full_replicates,half_ci_low,half_ci_high,full_ci_low,full_ci_high,max_endpoint_drift_years,relative_halfwidth_change,requires_1000,module
HRS,conditional_fdfle_gap,250,500,-6.03101523831191,-4.98524645889374,-6.05046287354987,-4.90762752372217,0.0776189351715724,0.0849348687229239,FALSE,primary_education
HRS,population_contribution_initial_state,250,500,-1.86906327674626,-1.5053143375157,-1.85945289561068,-1.50710165794203,0.00961038113557966,0.0323475564817711,FALSE,primary_education
HRS,population_contribution_onset,250,500,-2.59862714729913,-1.96113937931028,-2.63466794187701,-1.93432636217578,0.0360407945778825,0.0897473654772732,FALSE,primary_education
HRS,population_contribution_post_difficulty_mortality,250,500,-0.345425238792613,-0.0385469908620923,-0.352657504672513,-0.02685516711891,0.0116918237431822,0.058084572889133,FALSE,primary_education
HRS,population_contribution_pre_difficulty_mortality,250,500,-1.37192306184206,-0.815830087600144,-1.35744843542351,-0.828036410155697,0.0144746264185411,0.0503973232579986,FALSE,primary_education
HRS,population_contribution_recovery,250,500,-1.38947416783256,-0.763618779254983,-1.36781062484149,-0.759048294973665,0.0216635429910692,0.0280783778350124,FALSE,primary_education
HRS,population_contribution_relapse,250,500,-0.931571152339687,-0.434868963898826,-0.929842744509015,-0.43801870740505,0.00314974350622466,0.00991848907105369,FALSE,primary_education
HRS,population_fdfle_gap,250,500,-7.52528731619104,-6.43277883855989,-7.5506507552023,-6.356271534876,0.0765073036838917,0.0852917908830703,FALSE,primary_education
HRS,population_recovery_relapse,250,500,-2.12369657742931,-1.34633659004128,-2.12233738811924,-1.37368233667642,0.0273457466351426,0.0383420052932108,FALSE,primary_education
MHAS,conditional_fdfle_gap,500,1000,-6.3920344263098,-0.907077772552802,-6.20607221708124,-1.02367428551668,0.185962209228557,0.0583819934686285,TRUE,primary_education
MHAS,population_contribution_initial_state,500,1000,-0.476518054364417,-0.0891465557096771,-0.470533221582946,-0.0860843624265494,0.00598483278147094,0.00760215417144564,FALSE,primary_education
MHAS,population_contribution_onset,500,1000,-3.6362004933897,-0.994899573035868,-3.59764340475602,-1.0029306895461,0.0385570886336812,0.0179550533170072,FALSE,primary_education
MHAS,population_contribution_post_difficulty_mortality,500,1000,-0.883492602036303,0.577823519201426,-0.918370991296906,0.564927090402126,0.0348783892606023,0.0148196513785836,FALSE,primary_education
MHAS,population_contribution_pre_difficulty_mortality,500,1000,-1.52402117389294,1.44748100412169,-1.37795017990972,1.41725814713086,0.146070993983221,0.063070022104827,TRUE,primary_education
MHAS,population_contribution_recovery,500,1000,-1.33544280274179,0.196972040638756,-1.38321698808641,0.204894007836352,0.0477741853446188,0.0350706925934059,FALSE,primary_education
MHAS,population_contribution_relapse,500,1000,-1.55102166566103,0.735682111219278,-1.56594614299003,0.707921976620063,0.0277601345992157,0.00564485563587353,FALSE,primary_education
MHAS,population_fdfle_gap,500,1000,-6.30838700388651,-1.15268277618108,-6.32462933047124,-1.27174834492778,0.119065568746697,0.0203494288617041,TRUE,primary_education
MHAS,population_recovery_relapse,500,1000,-2.32315066343408,0.353877546587691,-2.42053507281967,0.334716922643307,0.0973844093855956,0.0283907916843981,FALSE,primary_education
CHARLS,conditional_fdfle_gap,250,500,-3.01039289942769,-1.42471555744823,-3.01575130799942,-1.38799745365063,0.0367181037975921,0.0258494318762715,FALSE,primary_wealth
CHARLS,population_contribution_initial_state,250,500,-0.703678468175836,-0.473667421149284,-0.708194347326425,-0.473302696028427,0.00451587915058949,0.0207781087342896,FALSE,primary_wealth
CHARLS,population_contribution_onset,250,500,-1.14057448217884,-0.397480218592878,-1.16354161915513,-0.377178915240884,0.0229671369762892,0.0550235153738942,FALSE,primary_wealth
CHARLS,population_contribution_post_difficulty_mortality,250,500,-0.504887901565103,0.117717227098784,-0.455865686718056,0.109556549910294,0.0490222148470468,0.101133079548696,FALSE,primary_wealth
CHARLS,population_contribution_pre_difficulty_mortality,250,500,-0.435748284904452,0.0811584299970134,-0.434345258890446,0.0713402658539027,0.00981816414311074,0.0221900560882961,FALSE,primary_wealth
CHARLS,population_contribution_recovery,250,500,-0.872121824726031,0.040028836109116,-0.885467784027297,0.0346633304683299,0.0133459593012654,0.00867317008930167,FALSE,primary_wealth
CHARLS,population_contribution_relapse,250,500,-1.15615601619207,-0.0889128890916113,-1.09340814248199,-0.0843798994380022,0.0627478737100746,0.0576940085253168,FALSE,primary_wealth
