cohort,metric,half_replicates,full_replicates,half_ci_low,half_ci_high,full_ci_low,full_ci_high,max_endpoint_drift_years,relative_halfwidth_change,requires_1000
HRS,population_contribution_relapse,250,500,-0.702122301192138,0.149519739428816,-0.676029702386636,0.151772070279766,0.0260925988055015,0.0287994888894229,FALSE
HRS,population_fdfle_gap,250,500,-5.6172029758509,-3.53254550610868,-5.61345146022019,-3.55291338283059,0.0203678767219078,0.0117053854123261,FALSE
HRS,population_recovery_relapse,250,500,-1.99112432487727,-0.42625907012771,-1.91905364466571,-0.456740345733794,0.0720706802115636,0.070129948139398,FALSE
MHAS,conditional_fdfle_gap,500,1000,-2.43345653676839,0.217689459722939,-2.45158059796547,0.244895654159256,0.0272061944363173,0.016810923366256,FALSE
MHAS,population_contribution_initial_state,500,1000,-0.218428284859577,0.0288927429893809,-0.221797654150707,0.0239942900901808,0.00489845289920012,0.00622104850829088,FALSE
MHAS,population_contribution_onset,500,1000,-1.38492972580293,0.141861650943823,-1.39164637559718,0.147157048156081,0.00671664979424413,0.0078060958411467,FALSE
MHAS,population_contribution_post_difficulty_mortality,500,1000,-0.409339670323471,0.354229216448039,-0.413270285847052,0.331330367023172,0.0228988494248673,0.0254743718369969,FALSE
MHAS,population_contribution_pre_difficulty_mortality,500,1000,-1.25573049560222,-0.0712514721957902,-1.22920203756552,-0.0666113826607906,0.0265284580366965,0.0188272358885342,FALSE
MHAS,population_contribution_recovery,500,1000,-0.58962715096749,0.528157444473453,-0.522751292486903,0.53130888122584,0.0668758584805873,0.0604561516670741,FALSE
MHAS,population_contribution_relapse,500,1000,-0.243620736929228,1.1319500468556,-0.331407940060211,1.14301814215274,0.0877872031309831,0.0670466289362981,FALSE
MHAS,population_fdfle_gap,500,1000,-2.32673900932114,0.333009943047162,-2.34215846831237,0.396511847263686,0.0635019042165241,0.0288174019190603,FALSE
MHAS,population_recovery_relapse,500,1000,-0.457222568206172,1.44154626373735,-0.506711445531341,1.36635881422182,0.0751874495155358,0.0137200257473276,FALSE
