age,state,probability_start,probability_end,half_cycle_occupancy,cohort,exposure,ses
67,D1,0.0975819052266724,0.10519828505212,0.101390095139396,CHARLS,education,middle
67,R1,0.0442367310400329,0.0522696670688591,0.048253199054446,CHARLS,education,middle
67,D2,0.0128901712873937,0.0183074802427539,0.0155988257650738,CHARLS,education,middle
67,DEAD,0.0358368967046129,0.0444437537589588,0.0401403252317858,CHARLS,education,middle
68,I0,0.779780813877309,0.749528011274697,0.764654412576003,CHARLS,education,middle
68,D1,0.10519828505212,0.112082029689628,0.108640157370874,CHARLS,education,middle
68,R1,0.0522696670688591,0.0597911775612062,0.0560304223150326,CHARLS,education,middle
68,D2,0.0183074802427539,0.0245066476793225,0.0214070639610382,CHARLS,education,middle
68,DEAD,0.0444437537589588,0.0540921337951462,0.0492679437770525,CHARLS,education,middle
69,I0,0.749528011274697,0.718728588334176,0.734128299804437,CHARLS,education,middle
69,D1,0.112082029689628,0.118324986948932,0.11520350831928,CHARLS,education,middle
69,R1,0.0597911775612062,0.0667162492844637,0.0632537134228349,CHARLS,education,middle
69,D2,0.0245066476793225,0.0313868795268619,0.0279467636030922,CHARLS,education,middle
69,DEAD,0.0540921337951462,0.0648432959055672,0.0594677148503567,CHARLS,education,middle
70,I0,0.718728588334176,0.687427760256614,0.703078174295395,CHARLS,education,middle
70,D1,0.118324986948932,0.123980455773088,0.12115272136101,CHARLS,education,middle
70,R1,0.0667162492844637,0.0729896257604189,0.0698529375224413,CHARLS,education,middle
70,D2,0.0313868795268619,0.0388424556975079,0.0351146676121849,CHARLS,education,middle
70,DEAD,0.0648432959055672,0.0767597025123709,0.070801499208969,CHARLS,education,middle
71,I0,0.687427760256614,0.655682877030884,0.671555318643749,CHARLS,education,middle
71,D1,0.123980455773088,0.129073225843754,0.126526840808421,CHARLS,education,middle
71,R1,0.0729896257604189,0.0785724102473517,0.0757810180038853,CHARLS,education,middle
71,D2,0.0388424556975079,0.0467634217367257,0.0428029387171168,CHARLS,education,middle
71,DEAD,0.0767597025123709,0.0899080651412854,0.0833338838268281,CHARLS,education,middle
72,I0,0.655682877030884,0.623557225357757,0.639620051194321,CHARLS,education,middle
72,D1,0.129073225843754,0.133614959611276,0.131344092727515,CHARLS,education,middle
72,R1,0.0785724102473517,0.0834206827251649,0.0809965464862583,CHARLS,education,middle
72,D2,0.0467634217367257,0.0550382946926453,0.0509008582146855,CHARLS,education,middle
72,DEAD,0.0899080651412854,0.104368837613156,0.0971384513772208,CHARLS,education,middle
73,I0,0.623557225357757,0.591117212856248,0.607337219107003,CHARLS,education,middle
73,D1,0.133614959611276,0.137609515816818,0.135612237714047,CHARLS,education,middle
73,R1,0.0834206827251649,0.0874804598958851,0.085450571310525,CHARLS,education,middle
73,D2,0.0550382946926453,0.0635523706383086,0.0592953326654769,CHARLS,education,middle
73,DEAD,0.104368837613156,0.12024044079274,0.112304639202948,CHARLS,education,middle
74,I0,0.591117212856248,0.558431432016134,0.574774322436191,CHARLS,education,middle
74,D1,0.137609515816818,0.141053947022812,0.139331731419815,CHARLS,education,middle
74,R1,0.0874804598958851,0.0906890938322172,0.0890847768640512,CHARLS,education,middle
74,D2,0.0635523706383086,0.0721846589782758,0.0678685148082922,CHARLS,education,middle
74,DEAD,0.12024044079274,0.137640868150562,0.128940654471651,CHARLS,education,middle
75,I0,0.558431432016134,0.525570286389821,0.542000859202977,CHARLS,education,middle
75,D1,0.141053947022812,0.143938371493303,0.142496159258058,CHARLS,education,middle
75,R1,0.0906890938322172,0.0929781658673634,0.0918336298497903,CHARLS,education,middle
75,D2,0.0721846589782758,0.080805061515687,0.0764948602469814,CHARLS,education,middle
75,DEAD,0.137640868150562,0.156708114733825,0.147174491442194,CHARLS,education,middle
76,I0,0.525570286389821,0.492606149265635,0.509088217827728,CHARLS,education,middle
76,D1,0.143938371493303,0.14624503359773,0.145091702545517,CHARLS,education,middle
76,R1,0.0929781658673634,0.0942778705167004,0.0936280181920319,CHARLS,education,middle
76,D2,0.080805061515687,0.0892718215108672,0.0850384415132771,CHARLS,education,middle
76,DEAD,0.156708114733825,0.177599125109068,0.167153619921447,CHARLS,education,middle
77,I0,0.492606149265635,0.459613990173325,0.47611006971948,CHARLS,education,middle
77,D1,0.14624503359773,0.147946846972859,0.147095940285294,CHARLS,education,middle
77,R1,0.0942778705167004,0.094522850708637,0.0944003606126687,CHARLS,education,middle
77,D2,0.0892718215108672,0.0974293988249968,0.093350610167932,CHARLS,education,middle
77,DEAD,0.177599125109068,0.200486913320182,0.189043019214625,CHARLS,education,middle
78,I0,0.459613990173325,0.426672383937266,0.443143187055296,CHARLS,education,middle
78,D1,0.147946846972859,0.149005740931571,0.148476293952215,CHARLS,education,middle
78,R1,0.094522850708637,0.0936593520576809,0.094091101383159,CHARLS,education,middle
78,D2,0.0974293988249968,0.105107067055537,0.101268232940267,CHARLS,education,middle
78,DEAD,0.200486913320182,0.225555456017946,0.213021184669064,CHARLS,education,middle
79,I0,0.426672383937266,0.393864809572499,0.410268596754883,CHARLS,education,middle
79,D1,0.149005740931571,0.149371188016742,0.149188464474156,CHARLS,education,middle
79,R1,0.0936593520576809,0.0916534094709674,0.0926563807643242,CHARLS,education,middle
79,D2,0.105107067055537,0.112118675840288,0.108612871447912,CHARLS,education,middle
79,DEAD,0.225555456017946,0.252991917099504,0.239273686558725,CHARLS,education,middle
80,I0,0.393864809572499,0.361281150711958,0.377572980142229,CHARLS,education,middle
80,D1,0.149371188016742,0.148979365418231,0.149175276717487,CHARLS,education,middle
80,R1,0.0916534094709674,0.0884995654621206,0.090076487466544,CHARLS,education,middle
80,D2,0.112118675840288,0.118264162099402,0.115191418969845,CHARLS,education,middle
80,DEAD,0.252991917099504,0.282975756308289,0.267983836703896,CHARLS,education,middle
81,I0,0.361281150711958,0.329030646408087,0.345155898560022,CHARLS,education,middle
81,D1,0.148979365418231,0.147749718737308,0.14836454207777,CHARLS,education,middle
81,R1,0.0884995654621206,0.084245960326595,0.0863727628943578,CHARLS,education,middle
81,D2,0.118264162099402,0.12332014487933,0.120792153489366,CHARLS,education,middle
81,DEAD,0.282975756308289,0.315653529648681,0.299314642978485,CHARLS,education,middle
82,I0,0.329030646408087,0.297287684167233,0.31315916528766,CHARLS,education,middle
82,D1,0.147749718737308,0.145577199248267,0.146663458992788,CHARLS,education,middle
82,R1,0.084245960326595,0.0790567195359635,0.0816513399312792,CHARLS,education,middle
82,D2,0.12332014487933,0.127004517357175,0.125162331118253,CHARLS,education,middle
82,DEAD,0.315653529648681,0.351073879691361,0.333363704670021,CHARLS,education,middle
83,I0,0.297287684167233,0.266297058676211,0.281792371421722,CHARLS,education,middle
83,D1,0.145577199248267,0.142350998183654,0.143964098715961,CHARLS,education,middle
83,R1,0.0790567195359635,0.0731863669646269,0.0761215432502952,CHARLS,education,middle
83,D2,0.127004517357175,0.129020275492836,0.128012396425006,CHARLS,education,middle
83,DEAD,0.351073879691361,0.389145300682672,0.370109590187016,CHARLS,education,middle
84,I0,0.266297058676211,0.236360807883723,0.251328933279967,CHARLS,education,middle
84,D1,0.142350998183654,0.137981543900327,0.140166271041991,CHARLS,education,middle
84,R1,0.0731863669646269,0.0669314427341468,0.0700589048493869,CHARLS,education,middle
