cohort,exposure,process,term,estimate,std_error_model,statistic,p_value_model,hazard_ratio,hr_ci_low_model,hr_ci_high_model
ELSA,wealth,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",1.97268187460401,0.173809359753958,11.3496872515756,7.44284403744919e-30,7.18993315395365,5.11417210238051,10.1082125754546
ELSA,wealth,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",2.78176860919859,0.30308176690174,9.17827765634098,4.38041326731457e-20,16.1475544215927,8.91493843996293,29.2479320585618
ELSA,wealth,onset,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",2.48779401591375,0.446660331682439,5.56976709022481,2.55080087160479e-08,12.0346984629859,5.0145303391709,28.8828578747698
ELSA,wealth,onset,sex_factormale,-0.123790551951731,0.0413561266231598,-2.99328206143965,0.00275994546787732,0.883564882443924,0.814770695834609,0.958167623699882
ELSA,wealth,onset,period_factor2,0.0249996930946561,0.0737731770194948,0.338872393797679,0.734705861827155,1.02531480584979,0.887279061100407,1.18482504229391
ELSA,wealth,onset,period_factor3,-0.102243633037532,0.0779007998878814,-1.31248502178008,0.189356536544518,0.902809570634635,0.774971363357616,1.05173579227259
ELSA,wealth,onset,period_factor4,-0.0974259605732378,0.0755440775804461,-1.28965716034444,0.197169719892689,0.90716950537954,0.78231926645581,1.05194457912158
ELSA,wealth,onset,period_factor5,-0.223737741455787,0.0795925384224642,-2.81103914877327,0.00493817769730638,0.79952478908354,0.684039840463741,0.934506808734577
ELSA,wealth,onset,period_factor6,-0.235128658600123,0.0839696477085235,-2.80016249938673,0.0051076887339668,0.790469142432818,0.67051502483397,0.931882869132119
ELSA,wealth,onset,period_factor7,-0.226528395449509,0.0871618508835695,-2.59893970989792,0.00935121955667438,0.797296702393297,0.67208824966074,0.945831193995889
ELSA,wealth,onset,period_factor8,-0.300552689434492,0.0895662327492407,-3.35564732610729,0.000791794704372705,0.740408891404671,0.621199802510986,0.88249436695756
ELSA,wealth,onset,period_factor9,-0.551407252750051,0.0964680002892739,-5.71596022615347,1.09086253218109e-08,0.576138467189552,0.476882793930524,0.696052651930833
ELSA,wealth,onset,period_factor10,-0.198961364502121,0.101085520240202,-1.96824791552088,0.0490395195598286,0.819581557662771,0.672274201207216,0.999166602637323
ELSA,wealth,onset,proxy_factorself,-0.6485864313797,0.139035312248167,-4.66490433899283,3.08760642221608e-06,0.522784246104986,0.398082645443566,0.686549316087437
ELSA,wealth,recovery,(Intercept),-2.67920173860928,0.189925217704989,-14.1066140188444,3.45786357706479e-45,0.0686179073238287,0.0472900594442908,0.099564628609702
ELSA,wealth,recovery,sesmiddle,-0.215796710068124,0.0627332457363297,-3.43990985218788,0.000581907975528181,0.805899116398465,0.712657832757649,0.9113397144583
ELSA,wealth,recovery,seslow,-0.285028531451043,0.0587281824472427,-4.85335182486011,1.21392051006996e-06,0.751992798567585,0.67022904349918,0.843731220815412
ELSA,wealth,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",-0.223857605294739,0.119688275762376,-1.87033862647647,0.0614368088299256,0.799428960716277,0.63226502727091,1.01078920336689
ELSA,wealth,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",-0.43533255495493,0.213537983480243,-2.03866566434636,0.0414834068020556,0.647049451793285,0.425765308909708,0.983342194172937
ELSA,wealth,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",-2.36046711186294,0.389943313124291,-6.05335963566213,1.41855681660841e-09,0.0943761286892813,0.0439476552977168,0.202669598776946
ELSA,wealth,recovery,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",-2.85676376252289,0.589310789180762,-4.84763526304051,1.24941841267198e-06,0.0574543957920129,0.0181005508165974,0.182370560391919
ELSA,wealth,recovery,origin_factorD2,0.141556179461012,0.0605927701513355,2.3361892698991,0.01948137929233,1.15206522484619,1.0230561263834,1.29734258763678
ELSA,wealth,recovery,sex_factormale,-0.0407650707511346,0.0468032788883502,-0.870987497443932,0.383760979690095,0.960054648373737,0.87590337435939,1.05229064625779
ELSA,wealth,recovery,period_factor2,0.252041920128985,0.0884755873605304,2.84871711675601,0.00438958909546588,1.28664997268716,1.08180373053657,1.53028512056874
ELSA,wealth,recovery,period_factor3,0.152208440196009,0.0914816696436716,1.66381353542051,0.0961496982130116,1.16440291951156,0.973268161195455,1.39307357727769
ELSA,wealth,recovery,period_factor4,0.13544801456012,0.0902185262935099,1.50133259902145,0.133269557367416,1.14504966837647,0.959464179232235,1.36653224938345
ELSA,wealth,recovery,period_factor5,0.252212625574178,0.090867042195113,2.77562270633415,0.00550961042392503,1.28686962959133,1.07692873155734,1.53773726620679
ELSA,wealth,recovery,period_factor6,0.266707790109659,0.0981856036536516,2.7163635012162,0.00660034058508972,1.30565886414881,1.07709112750491,1.58273058425374
ELSA,wealth,recovery,period_factor7,0.458870158508685,0.0972281299865828,4.71952056027415,2.36401152640726e-06,1.58228524316857,1.30774335725681,1.914463244532
ELSA,wealth,recovery,period_factor8,0.180354216277168,0.106757623227791,1.68938021308645,0.0911465904174895,1.19764151211494,0.971522621558623,1.47638887629794
ELSA,wealth,recovery,period_factor9,-0.453450988493703,0.128268640570091,-3.53516640137712,0.000407518445091052,0.635431496702746,0.494178977879186,0.817058606448055
ELSA,wealth,recovery,period_factor10,0.286521792049936,0.111521643216707,2.56920346387985,0.01019325895721,1.33178718995093,1.07030041563717,1.6571582084844
ELSA,wealth,recovery,proxy_factorself,1.14936695269021,0.156477163970487,7.345269581362,2.0534479602244e-13,3.15619425685215,2.32256391515557,4.28903683639606
ELSA,wealth,relapse,(Intercept),-1.95341349660225,0.262080838735034,-7.45347697309975,9.09118718270174e-14,0.141789247470065,0.0848311948083899,0.236990540372997
ELSA,wealth,relapse,sesmiddle,0.248769602407034,0.0835791982302414,2.97645356350191,0.00291603239546021,1.28244652643631,1.08866739389145,1.51071769247142
ELSA,wealth,relapse,seslow,0.39436381018471,0.0778761708573152,5.06398563056296,4.10580609795836e-07,1.48344014114594,1.27344587723074,1.7280629602795
ELSA,wealth,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",0.240925633225415,0.156583395767933,1.53864100368907,0.123891962451685,1.27242640554194,0.936151625583049,1.7294943610358
ELSA,wealth,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",0.923524314317708,0.260740011211237,3.54193554732005,0.00039720251460289,2.51814951999451,1.51055010486988,4.19785943187552
ELSA,wealth,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))3",0.751217290535175,0.429241763264151,1.75010298350881,0.0801005450468122,2.11957858981383,0.913842935344589,4.91617675711758
ELSA,wealth,relapse,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))4",0.395008922642419,0.631046589165428,0.625958414837209,0.53134221787055,1.48439743560935,0.430915875613025,5.11337797362186
ELSA,wealth,relapse,sex_factormale,-0.0194820529713332,0.0615052802152935,-0.31675415351557,0.751430154324325,0.98070649579832,0.869330066741574,1.10635219889033
ELSA,wealth,relapse,period_factor3,-0.133656746224802,0.13701720899811,-0.975474155415366,0.329325115484674,0.874890322474135,0.668839956208753,1.14441888414931
ELSA,wealth,relapse,period_factor4,-0.21451409391528,0.132563997391217,-1.61819270795083,0.105621073872868,0.806933438800233,0.622295929303143,1.04635358194152
ELSA,wealth,relapse,period_factor5,-0.143294659433965,0.129443839799624,-1.1070025399106,0.268292830197189,0.866498709256072,0.672330942691566,1.11674171969039
ELSA,wealth,relapse,period_factor6,-0.221863517350113,0.13453729438967,-1.6490856186502,0.0991300954716758,0.801024682845789,0.615354586226748,1.04271676345606
ELSA,wealth,relapse,period_factor7,-0.220002111396108,0.136323597463906,-1.61382266525322,0.106565896833526,0.8025171035292,0.614346386553332,1.04832341420631
ELSA,wealth,relapse,period_factor8,-0.194203134990804,0.13346143160635,-1.45512551943556,0.145634515464153,0.823490607520255,0.633948510896897,1.06970324721587
ELSA,wealth,relapse,period_factor9,-0.517460405325514,0.148424430210122,-3.48635601695054,0.000489648887981081,0.596032308004044,0.445582756429859,0.797280655631812
ELSA,wealth,relapse,period_factor10,-0.214864723288421,0.162960079330697,-1.31851140580506,0.187332509437252,0.806650553831208,0.58609904859822,1.11019650612374
ELSA,wealth,relapse,proxy_factorself,-0.14823676868355,0.204740347322797,-0.724023235390128,0.469051470360522,0.86222694243409,0.577222281877447,1.28795322633973
ELSA,wealth,death_pre,(Intercept),-5.3131765592359,0.336101832986815,-15.8082344033046,2.73011321303165e-56,0.00492625330166824,0.0025493008040758,0.00951946178865898
ELSA,wealth,death_pre,sesmiddle,0.252775662102889,0.086259641492877,2.93040473769836,0.00338520769954351,1.28759438821412,1.08731000946379,1.52477149490981
ELSA,wealth,death_pre,seslow,0.632506808537728,0.0833387754649675,7.58958606013609,3.20929063732425e-14,1.88232329396377,1.59865525243402,2.21632586363072
ELSA,wealth,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))1",2.22650062346899,0.188543679317241,11.8089380218506,3.5096614105742e-32,9.26737922140966,6.4042063201764,13.4106106736189
ELSA,wealth,death_pre,"ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60, 95))2",3.03267831440608,0.280680854094178,10.8047209853099,3.26949465711783e-27,20.752740586352,11.9716797579647,35.9745875726333
