cohort,exposure,process,rows,persons,events,low_rows,low_events,high_rows,high_events,converged,iterations,coefficient_abs_max,warning_n,warnings,formula
MHAS,education,onset,21475,11722,1687,19122,1598,1829,69,TRUE,18,17.3289824076402,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
MHAS,education,recovery,3121,2432,1042,3009,1007,86,26,TRUE,18,18.9220356171813,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
MHAS,education,relapse,1184,869,343,1135,332,29,5,TRUE,17,20.1424868654221,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
MHAS,education,death_pre,24588,13076,1361,21765,1246,2189,84,TRUE,6,5.32802671452151,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
MHAS,education,death_post,5068,3174,863,4847,831,158,22,TRUE,9,3.22399976782241,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
MHAS,wealth,onset,21594,11800,1692,6048,544,8065,564,TRUE,18,17.3466953592098,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
MHAS,wealth,recovery,3133,2443,1048,1041,362,979,300,TRUE,18,18.9236337349842,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
MHAS,wealth,relapse,1189,873,344,405,121,354,98,TRUE,17,19.9838246631297,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
MHAS,wealth,death_pre,24745,13177,1369,6851,408,9331,453,TRUE,6,5.41019006713644,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + sex_factor + period_factor + offset(log(interval_years))"
MHAS,wealth,death_post,5086,3187,866,1667,286,1614,273,TRUE,9,3.37878531540304,1,non-integer #successes in a binomial glm!,"event ~ ses + ns(age_model, knots = c(70, 80, 90), Boundary.knots = c(60,      95)) + origin_factor + sex_factor + period_factor + offset(log(interval_years))"
