age,origin_state,destination,annual_probability,cohort,exposure,ses
69,I0,D1,0.0188034497296359,CHARLS,education,high
69,D1,D1,0.751007536067738,CHARLS,education,high
69,R1,D1,0,CHARLS,education,high
69,D2,D1,0,CHARLS,education,high
69,DEAD,D1,0,CHARLS,education,high
69,I0,R1,0,CHARLS,education,high
69,D1,R1,0.21598659171301,CHARLS,education,high
69,R1,R1,0.772687053659418,CHARLS,education,high
69,D2,R1,0.225642909073477,CHARLS,education,high
69,DEAD,R1,0,CHARLS,education,high
69,I0,D2,0,CHARLS,education,high
69,D1,D2,0,CHARLS,education,high
69,R1,D2,0.215352548115712,CHARLS,education,high
69,D2,D2,0.752596782949651,CHARLS,education,high
69,DEAD,D2,0,CHARLS,education,high
69,I0,DEAD,0.0113236768838871,CHARLS,education,high
69,D1,DEAD,0.0330058722192519,CHARLS,education,high
69,R1,DEAD,0.0119603982248696,CHARLS,education,high
69,D2,DEAD,0.0217603079768719,CHARLS,education,high
69,DEAD,DEAD,1,CHARLS,education,high
70,I0,I0,0.967784429527026,CHARLS,education,high
70,D1,I0,0,CHARLS,education,high
70,R1,I0,0,CHARLS,education,high
70,D2,I0,0,CHARLS,education,high
70,DEAD,I0,0,CHARLS,education,high
70,I0,D1,0.0197274085341552,CHARLS,education,high
70,D1,D1,0.755892335742372,CHARLS,education,high
70,R1,D1,0,CHARLS,education,high
70,D2,D1,0,CHARLS,education,high
70,DEAD,D1,0,CHARLS,education,high
70,I0,R1,0,CHARLS,education,high
70,D1,R1,0.2082638942031,CHARLS,education,high
70,R1,R1,0.766280431929939,CHARLS,education,high
70,D2,R1,0.217729937737417,CHARLS,education,high
70,DEAD,R1,0,CHARLS,education,high
70,I0,D2,0,CHARLS,education,high
70,D1,D2,0,CHARLS,education,high
70,R1,D2,0.220822305493332,CHARLS,education,high
70,D2,D2,0.758621934064876,CHARLS,education,high
70,DEAD,D2,0,CHARLS,education,high
70,I0,DEAD,0.0124881619388187,CHARLS,education,high
70,D1,DEAD,0.0358437700545279,CHARLS,education,high
70,R1,DEAD,0.0128972625767292,CHARLS,education,high
70,D2,DEAD,0.0236481281977071,CHARLS,education,high
70,DEAD,DEAD,1,CHARLS,education,high
71,I0,I0,0.965579327096734,CHARLS,education,high
71,D1,I0,0,CHARLS,education,high
71,R1,I0,0,CHARLS,education,high
71,D2,I0,0,CHARLS,education,high
71,DEAD,I0,0,CHARLS,education,high
71,I0,D1,0.0207378580083282,CHARLS,education,high
71,D1,D1,0.759904349266676,CHARLS,education,high
71,R1,D1,0,CHARLS,education,high
71,D2,D1,0,CHARLS,education,high
71,DEAD,D1,0,CHARLS,education,high
71,I0,R1,0,CHARLS,education,high
71,D1,R1,0.201041782191609,CHARLS,education,high
71,R1,R1,0.759575379365925,CHARLS,education,high
71,D2,R1,0.21034100757327,CHARLS,education,high
71,DEAD,R1,0,CHARLS,education,high
71,I0,D2,0,CHARLS,education,high
71,D1,D2,0,CHARLS,education,high
71,R1,D2,0.226466433925739,CHARLS,education,high
71,D2,D2,0.76387319245877,CHARLS,education,high
71,DEAD,D2,0,CHARLS,education,high
71,I0,DEAD,0.0136828148949377,CHARLS,education,high
71,D1,DEAD,0.039053868541715,CHARLS,education,high
71,R1,DEAD,0.0139581867083362,CHARLS,education,high
71,D2,DEAD,0.0257857999679608,CHARLS,education,high
71,DEAD,DEAD,1,CHARLS,education,high
72,I0,I0,0.9632454297312,CHARLS,education,high
72,D1,I0,0,CHARLS,education,high
72,R1,I0,0,CHARLS,education,high
72,D2,I0,0,CHARLS,education,high
72,DEAD,I0,0,CHARLS,education,high
72,I0,D1,0.0218434232840091,CHARLS,education,high
72,D1,D1,0.763179377831692,CHARLS,education,high
72,R1,D1,0,CHARLS,education,high
72,D2,D1,0,CHARLS,education,high
72,DEAD,D1,0,CHARLS,education,high
72,I0,R1,0,CHARLS,education,high
72,D1,R1,0.194134904855684,CHARLS,education,high
72,R1,R1,0.75256402678558,CHARLS,education,high
72,D2,R1,0.203284848147026,CHARLS,education,high
72,DEAD,R1,0,CHARLS,education,high
72,I0,D2,0,CHARLS,education,high
72,D1,D2,0,CHARLS,education,high
72,R1,D2,0.232278177810166,CHARLS,education,high
72,D2,D2,0.768507762630656,CHARLS,education,high
72,DEAD,D2,0,CHARLS,education,high
72,I0,DEAD,0.0149111469847905,CHARLS,education,high
72,D1,DEAD,0.0426857173126239,CHARLS,education,high
72,R1,DEAD,0.015157795404254,CHARLS,education,high
72,D2,DEAD,0.0282073892223185,CHARLS,education,high
72,DEAD,DEAD,1,CHARLS,education,high
73,I0,I0,0.960760708178116,CHARLS,education,high
73,D1,I0,0,CHARLS,education,high
73,R1,I0,0,CHARLS,education,high
73,D2,I0,0,CHARLS,education,high
73,DEAD,I0,0,CHARLS,education,high
73,I0,D1,0.0230527413600375,CHARLS,education,high
73,D1,D1,0.765867198317955,CHARLS,education,high
73,R1,D1,0,CHARLS,education,high
73,D2,D1,0,CHARLS,education,high
73,DEAD,D1,0,CHARLS,education,high
73,I0,R1,0,CHARLS,education,high
73,D1,R1,0.187342306578476,CHARLS,education,high
73,R1,R1,0.745243237618194,CHARLS,education,high
73,D2,R1,0.196353042500312,CHARLS,education,high
73,DEAD,R1,0,CHARLS,education,high
73,I0,D2,0,CHARLS,education,high
73,D1,D2,0,CHARLS,education,high
73,R1,D2,0.238246223428091,CHARLS,education,high
73,D2,D2,0.772698547796572,CHARLS,education,high
73,DEAD,D2,0,CHARLS,education,high
73,I0,DEAD,0.0161865504618468,CHARLS,education,high
73,D1,DEAD,0.0467904951035696,CHARLS,education,high
73,R1,DEAD,0.0165105389537155,CHARLS,education,high
73,D2,DEAD,0.0309484097031161,CHARLS,education,high
73,DEAD,DEAD,1,CHARLS,education,high
74,I0,I0,0.958095887225259,CHARLS,education,high
74,D1,I0,0,CHARLS,education,high
74,R1,I0,0,CHARLS,education,high
74,D2,I0,0,CHARLS,education,high
74,DEAD,I0,0,CHARLS,education,high
74,I0,D1,0.0243752995715874,CHARLS,education,high
74,D1,D1,0.76808921886236,CHARLS,education,high
74,R1,D1,0,CHARLS,education,high
74,D2,D1,0,CHARLS,education,high
74,DEAD,D1,0,CHARLS,education,high
74,I0,R1,0,CHARLS,education,high
74,D1,R1,0.180486398242099,CHARLS,education,high
74,R1,R1,0.737610201303309,CHARLS,education,high
74,D2,R1,0.189360649640081,CHARLS,education,high
74,DEAD,R1,0,CHARLS,education,high
74,I0,D2,0,CHARLS,education,high
74,D1,D2,0,CHARLS,education,high
74,R1,D2,0.244357664582165,CHARLS,education,high
74,D2,D2,0.776591219914067,CHARLS,education,high
74,DEAD,D2,0,CHARLS,education,high
74,I0,DEAD,0.0175288132031537,CHARLS,education,high
74,D1,DEAD,0.0514243828955408,CHARLS,education,high
74,R1,DEAD,0.0180321341145256,CHARLS,education,high
74,D2,DEAD,0.0340481304458517,CHARLS,education,high
74,DEAD,DEAD,1,CHARLS,education,high
75,I0,I0,0.955213583043002,CHARLS,education,high
75,D1,I0,0,CHARLS,education,high
75,R1,I0,0,CHARLS,education,high
75,D2,I0,0,CHARLS,education,high
75,DEAD,I0,0,CHARLS,education,high
75,I0,D1,0.0258214948934016,CHARLS,education,high
75,D1,D1,0.769938108668118,CHARLS,education,high
75,R1,D1,0,CHARLS,education,high
75,D2,D1,0,CHARLS,education,high
75,DEAD,D1,0,CHARLS,education,high
75,I0,R1,0,CHARLS,education,high
75,D1,R1,0.173413382936142,CHARLS,education,high
75,R1,R1,0.729662590559947,CHARLS,education,high
75,D2,R1,0.182146591744838,CHARLS,education,high
75,DEAD,R1,0,CHARLS,education,high
75,I0,D2,0,CHARLS,education,high
75,D1,D2,0,CHARLS,education,high
75,R1,D2,0.250597911234171,CHARLS,education,high
75,D2,D2,0.780303762634484,CHARLS,education,high
75,DEAD,D2,0,CHARLS,education,high
75,I0,DEAD,0.0189649220635966,CHARLS,education,high
75,D1,DEAD,0.0566485083957404,CHARLS,education,high
75,R1,DEAD,0.0197394982058826,CHARLS,education,high
75,D2,DEAD,0.037549645620678,CHARLS,education,high
75,DEAD,DEAD,1,CHARLS,education,high
76,I0,I0,0.952067115671187,CHARLS,education,high
76,D1,I0,0,CHARLS,education,high
76,R1,I0,0,CHARLS,education,high
76,D2,I0,0,CHARLS,education,high
76,DEAD,I0,0,CHARLS,education,high
76,I0,D1,0.0274026868682906,CHARLS,education,high
76,D1,D1,0.771476401411846,CHARLS,education,high
76,R1,D1,0,CHARLS,education,high
76,D2,D1,0,CHARLS,education,high
76,DEAD,D1,0,CHARLS,education,high
76,I0,R1,0,CHARLS,education,high
76,D1,R1,0.165994971090406,CHARLS,education,high
